Klagenfurt_Graz						
genus	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Ruminococcaceae UCG-014	0	NA	NA	NA	NA	NA
Ruminococcus 1	0	NA	NA	NA	NA	NA
Ruminococcus 2	0	NA	NA	NA	NA	NA
S5-A14a	0	NA	NA	NA	NA	NA
Salipaludibacillus	0	NA	NA	NA	NA	NA
Schlesneria	0	NA	NA	NA	NA	NA
Sediminibacterium	0	NA	NA	NA	NA	NA
Selenomonas 3	0	NA	NA	NA	NA	NA
Senegalimassilia	0	NA	NA	NA	NA	NA
Shewanella	0	NA	NA	NA	NA	NA
Solirubrobacter	0	NA	NA	NA	NA	NA
Sphingoaurantiacus	0	NA	NA	NA	NA	NA
Sphingobacterium	0	NA	NA	NA	NA	NA
Sphingobium	0	NA	NA	NA	NA	NA
Sphingomonas	0	NA	NA	NA	NA	NA
Sporomusa	0	NA	NA	NA	NA	NA
Subdoligranulum	0	NA	NA	NA	NA	NA
Sulfurifustis	0	NA	NA	NA	NA	NA
Sulfuritalea	0	NA	NA	NA	NA	NA
Taibaiella	0	NA	NA	NA	NA	NA
Tepidimonas	0	NA	NA	NA	NA	NA
Thermus	0	NA	NA	NA	NA	NA
Triticum aestivum (bread wheat)	0	NA	NA	NA	NA	NA
Truepera	0	NA	NA	NA	NA	NA
Turicibacter	0	NA	NA	NA	NA	NA
Turneriella	0	NA	NA	NA	NA	NA
UBA1819	0	NA	NA	NA	NA	NA
Undibacterium	0	NA	NA	NA	NA	NA
unknown_0319-6G20	0	NA	NA	NA	NA	NA
unknown_A4b	0	NA	NA	NA	NA	NA
unknown_Absconditabacteriales (SR1)	0	NA	NA	NA	NA	NA
unknown_Acetobacteraceae	0	NA	NA	NA	NA	NA
unknown_Acidobacteriales	0	NA	NA	NA	NA	NA
unknown_AKYH767	0	NA	NA	NA	NA	NA
unknown_Alphaproteobacteria	0	NA	NA	NA	NA	NA
unknown_Anaerolineaceae	0	NA	NA	NA	NA	NA
unknown_Babeliales	0	NA	NA	NA	NA	NA
unknown_Bacilli	0	NA	NA	NA	NA	NA
unknown_bacteriap25	0	NA	NA	NA	NA	NA
unknown_BD2-11 terrestrial group	0	NA	NA	NA	NA	NA
unknown_Beijerinckiaceae	0	NA	NA	NA	NA	NA
unknown_BRC1	0	NA	NA	NA	NA	NA
unknown_Caenarcaniphilales	0	NA	NA	NA	NA	NA
unknown_Candidatus Abawacabacteria	0	NA	NA	NA	NA	NA
unknown_Candidatus Gottesmanbacteria	0	NA	NA	NA	NA	NA
unknown_Caulobacteraceae	0	NA	NA	NA	NA	NA
unknown_Chitinophagaceae	0	NA	NA	NA	NA	NA
unknown_Chitinophagales	0	NA	NA	NA	NA	NA
unknown_Chloroplast	0	NA	NA	NA	NA	NA
unknown_Chroococcidiopsaceae	0	NA	NA	NA	NA	NA
unknown_Clostridiales	0	NA	NA	NA	NA	NA
unknown_Clostridiales vadinBB60 group	0	NA	NA	NA	NA	NA
unknown_Corynebacteriales	0	NA	NA	NA	NA	NA
unknown_Elsterales	0	NA	NA	NA	NA	NA
unknown_Enterococcaceae	0	NA	NA	NA	NA	NA
unknown_FBP	0	NA	NA	NA	NA	NA
unknown_Frankiales	0	NA	NA	NA	NA	NA
unknown_Gallionellaceae	0	NA	NA	NA	NA	NA
unknown_Gammaproteobacteria	0	NA	NA	NA	NA	NA
unknown_Gammaproteobacteria Incertae Sedis	0	NA	NA	NA	NA	NA
unknown_Gastranaerophilales	0	NA	NA	NA	NA	NA
unknown_Gemmataceae	0	NA	NA	NA	NA	NA
unknown_Gemmatimonadaceae	0	NA	NA	NA	NA	NA
unknown_Geodermatophilaceae	0	NA	NA	NA	NA	NA
unknown_Holosporaceae	0	NA	NA	NA	NA	NA
unknown_Intrasporangiaceae	0	NA	NA	NA	NA	NA
unknown_JG30-KF-CM45	0	NA	NA	NA	NA	NA
unknown_JG30-KF-CM66	0	NA	NA	NA	NA	NA
unknown_Ktedonobacteraceae	0	NA	NA	NA	NA	NA
unknown_Lachnospiraceae	0	NA	NA	NA	NA	NA
unknown_Lineage IV	0	NA	NA	NA	NA	NA
unknown_Methylophilaceae	0	NA	NA	NA	NA	NA
unknown_Micavibrionales	0	NA	NA	NA	NA	NA
unknown_Microbacteriaceae	0	NA	NA	NA	NA	NA
unknown_Micrococcaceae	0	NA	NA	NA	NA	NA
unknown_Micrococcales	0	NA	NA	NA	NA	NA
unknown_Micromonosporaceae	0	NA	NA	NA	NA	NA
unknown_Micropepsaceae	0	NA	NA	NA	NA	NA
unknown_mle1-27	0	NA	NA	NA	NA	NA
unknown_Mollicutes RF39	0	NA	NA	NA	NA	NA
unknown_MVP-88	0	NA	NA	NA	NA	NA
unknown_Myxococcales	0	NA	NA	NA	NA	NA
unknown_Neisseriaceae	0	NA	NA	NA	NA	NA
unknown_Nitrosomonadaceae	0	NA	NA	NA	NA	NA
unknown_Obscuribacterales	0	NA	NA	NA	NA	NA
unknown_OLB14	0	NA	NA	NA	NA	NA
unknown_Oligoflexaceae	0	NA	NA	NA	NA	NA
unknown_OM190	0	NA	NA	NA	NA	NA
unknown_Omnitrophicaeota	0	NA	NA	NA	NA	NA
unknown_OPB56	0	NA	NA	NA	NA	NA
unknown_Paracaedibacteraceae	0	NA	NA	NA	NA	NA
unknown_Parcubacteria	0	NA	NA	NA	NA	NA
unknown_PB19	0	NA	NA	NA	NA	NA
unknown_Pedosphaeraceae	0	NA	NA	NA	NA	NA
unknown_Phaseolus acutifolius (tepary bean)	0	NA	NA	NA	NA	NA
unknown_Planctomycetales	0	NA	NA	NA	NA	NA
unknown_Polyangiaceae	0	NA	NA	NA	NA	NA
unknown_Prevotellaceae	0	NA	NA	NA	NA	NA
unknown_Propionibacteriaceae	0	NA	NA	NA	NA	NA
unknown_Rhizobiaceae	0	NA	NA	NA	NA	NA
unknown_Rhizobiales Incertae Sedis	0	NA	NA	NA	NA	NA
unknown_Rhodanobacteraceae	0	NA	NA	NA	NA	NA
unknown_Rhodobacteraceae	0	NA	NA	NA	NA	NA
unknown_Rhodocyclaceae	0	NA	NA	NA	NA	NA
unknown_Rhodospirillaceae	0	NA	NA	NA	NA	NA
unknown_Rhodospirillales	0	NA	NA	NA	NA	NA
unknown_Ruminococcaceae	0	NA	NA	NA	NA	NA
unknown_SM2D12	0	NA	NA	NA	NA	NA
unknown_Solimonadaceae	0	NA	NA	NA	NA	NA
unknown_Sphingomonadaceae	0	NA	NA	NA	NA	NA
unknown_Staphylococcaceae	0	NA	NA	NA	NA	NA
unknown_Subgroup 17	0	NA	NA	NA	NA	NA
unknown_Subgroup 6	0	NA	NA	NA	NA	NA
unknown_Subgroup 7	0	NA	NA	NA	NA	NA
unknown_Thalassobaculales	0	NA	NA	NA	NA	NA
unknown_Thermodesulfovibrionia	0	NA	NA	NA	NA	NA
unknown_Triticum aestivum (bread wheat)	0	NA	NA	NA	NA	NA
unknown_UBA12409	0	NA	NA	NA	NA	NA
unknown_Veillonellaceae	0	NA	NA	NA	NA	NA
unknown_WD260	0	NA	NA	NA	NA	NA
unknown_Weeksellaceae	0	NA	NA	NA	NA	NA
unknown_WPS-2	0	NA	NA	NA	NA	NA
unknown_Xanthobacteraceae	0	NA	NA	NA	NA	NA
Vagococcus	0	NA	NA	NA	NA	NA
Variovorax	0	NA	NA	NA	NA	NA
Vibrionimonas	0	NA	NA	NA	NA	NA
Vulcaniibacterium	0	NA	NA	NA	NA	NA
Williamsia	0	NA	NA	NA	NA	NA
						
Graz_Leoben						
genus	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Lactobacillus	250.208	-5.65	1.308	-4.318	0	0
Klebsiella	51.387	24.861	2.925	8.498	0	0
Haemophilus	3.391	-24.133	2.929	-8.238	0	0
Staphylococcus	5034.702	-1.8	0.85	-2.118	0.034	0.274
Corynebacterium 1	8.216	4.637	2.397	1.935	0.053	0.339
unknown_Lactobacillales	9.561	3.125	1.93	1.62	0.105	0.562
Streptococcus	17.24	2.143	1.552	1.381	0.167	0.765
Veillonella	93.69	-3.463	2.655	-1.304	0.192	0.768
Enterococcus	32557.533	-0.025	0.726	-0.035	0.972	1
Bifidobacterium	0.152	-1.066	2.951	-0.361	0.718	1
Enterobacter	2.83	0.488	2.908	0.168	0.867	1
Clostridium sensu stricto 1	0	0	0	0	1	1
Escherichia-Shigella	1.76	0.421	2.851	0.148	0.883	1
unknown_Enterobacteriaceae	0.316	1.902	2.914	0.653	0.514	1
Rothia	0.215	1.575	2.951	0.534	0.594	1
unknown_Bacteria	1.693	1.002	2.493	0.402	0.688	1
Eikenella	0	0	0	0	1	1
Finegoldia	0.281	0.239	2.951	0.081	0.935	1
Acinetobacter	0.461	-0.576	2.943	-0.196	0.845	1
Gemella	0.012	0.265	2.956	0.09	0.929	1
Elizabethkingia	0.301	1.83	2.95	0.62	0.535	1
Ureaplasma	0.225	-1.365	2.949	-0.463	0.643	1
unknown_Burkholderiaceae	0.496	-2.128	2.876	-0.74	0.459	1
Ralstonia	0.079	-0.634	2.954	-0.215	0.83	1
Aeromonas	0.137	1.212	2.953	0.41	0.681	1
Bacillus	0.241	1.262	2.953	0.428	0.669	1
Micrococcus	0.135	-0.908	2.952	-0.308	0.758	1
Stenotrophomonas	0.09	-0.675	2.954	-0.228	0.819	1
Achromobacter	0.072	-0.476	2.954	-0.161	0.872	1
unknown_Sericytochromatia	0.003	0.131	2.956	0.044	0.965	1
Empedobacter	0.096	-0.285	2.955	-0.097	0.923	1
unknown_Pasteurellaceae	0.02	-0.167	2.955	-0.056	0.955	1
Geobacillus	0	NA	NA	NA	NA	NA
Ochrobactrum	0	NA	NA	NA	NA	NA
Lactococcus	0	NA	NA	NA	NA	NA
Pseudomonas	0	NA	NA	NA	NA	NA
Craurococcus	0	NA	NA	NA	NA	NA
Prevotella	0	NA	NA	NA	NA	NA
Blautia	0	NA	NA	NA	NA	NA
Saccharopolyspora	0	NA	NA	NA	NA	NA
Serratia	0	NA	NA	NA	NA	NA
unknown_Diplorickettsiaceae	0	NA	NA	NA	NA	NA
unknown_Mitochondria	0	NA	NA	NA	NA	NA
Pandoraea	0	NA	NA	NA	NA	NA
Paracoccus	0	NA	NA	NA	NA	NA
Vibrio	0	NA	NA	NA	NA	NA
unknown_Actinobacteria	0	NA	NA	NA	NA	NA
unknown_Betaproteobacteriales	0	NA	NA	NA	NA	NA
[Eubacterium] brachy group	0	NA	NA	NA	NA	NA
[Eubacterium] coprostanoligenes group	0	NA	NA	NA	NA	NA
[Eubacterium] eligens group	0	NA	NA	NA	NA	NA
[Eubacterium] hallii group	0	NA	NA	NA	NA	NA
[Eubacterium] ruminantium group	0	NA	NA	NA	NA	NA
[Eubacterium] xylanophilum group	0	NA	NA	NA	NA	NA
[Ruminococcus] gauvreauii group	0	NA	NA	NA	NA	NA
AAP99	0	NA	NA	NA	NA	NA
Abiotrophia	0	NA	NA	NA	NA	NA
Actinomyces	0	NA	NA	NA	NA	NA
Actinotignum	0	NA	NA	NA	NA	NA
Adhaeribacter	0	NA	NA	NA	NA	NA
Afipia	0	NA	NA	NA	NA	NA
Agathobacter	0	NA	NA	NA	NA	NA
Agromyces	0	NA	NA	NA	NA	NA
Akkermansia	0	NA	NA	NA	NA	NA
Alcaligenes	0	NA	NA	NA	NA	NA
Aliidiomarina	0	NA	NA	NA	NA	NA
Alistipes	0	NA	NA	NA	NA	NA
Aliterella CENA595	0	NA	NA	NA	NA	NA
Allisonella	0	NA	NA	NA	NA	NA
Alloprevotella	0	NA	NA	NA	NA	NA
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	0	NA	NA	NA	NA	NA
alphaI cluster	0	NA	NA	NA	NA	NA
Altererythrobacter	0	NA	NA	NA	NA	NA
Aminobacter	0	NA	NA	NA	NA	NA
Anaerococcus	0	NA	NA	NA	NA	NA
Anaerostipes	0	NA	NA	NA	NA	NA
Anoxybacillus	0	NA	NA	NA	NA	NA
Aquabacterium	0	NA	NA	NA	NA	NA
Aquipuribacter	0	NA	NA	NA	NA	NA
Atopobium	0	NA	NA	NA	NA	NA
Atopostipes	0	NA	NA	NA	NA	NA
Bacteriovorax	0	NA	NA	NA	NA	NA
Bacteroides	0	NA	NA	NA	NA	NA
Bergeyella	0	NA	NA	NA	NA	NA
Bilophila	0	NA	NA	NA	NA	NA
Blastococcus	0	NA	NA	NA	NA	NA
Bordetella	0	NA	NA	NA	NA	NA
Bosea	0	NA	NA	NA	NA	NA
Brachybacterium	0	NA	NA	NA	NA	NA
Bradyrhizobium	0	NA	NA	NA	NA	NA
Brevibacterium	0	NA	NA	NA	NA	NA
Brevundimonas	0	NA	NA	NA	NA	NA
Bryobacter	0	NA	NA	NA	NA	NA
Burkholderia-Caballeronia-Paraburkholderia	0	NA	NA	NA	NA	NA
Butyricicoccus	0	NA	NA	NA	NA	NA
Butyrivibrio	0	NA	NA	NA	NA	NA
CAG-56	0	NA	NA	NA	NA	NA
Candidatus Captivus	0	NA	NA	NA	NA	NA
Candidatus Nitrotoga	0	NA	NA	NA	NA	NA
Candidatus Paracaedibacter	0	NA	NA	NA	NA	NA
Candidatus Soleaferrea	0	NA	NA	NA	NA	NA
Capnocytophaga	0	NA	NA	NA	NA	NA
Caulobacter	0	NA	NA	NA	NA	NA
Cellulomonas	0	NA	NA	NA	NA	NA
Christensenellaceae R-7 group	0	NA	NA	NA	NA	NA
Chryseobacterium	0	NA	NA	NA	NA	NA
Cloacibacterium	0	NA	NA	NA	NA	NA
Collinsella	0	NA	NA	NA	NA	NA
Coprococcus 1	0	NA	NA	NA	NA	NA
Coprococcus 2	0	NA	NA	NA	NA	NA
Coprococcus 3	0	NA	NA	NA	NA	NA
Corynebacterium	0	NA	NA	NA	NA	NA
Crocinitomix	0	NA	NA	NA	NA	NA
Cupriavidus	0	NA	NA	NA	NA	NA
Curvibacter	0	NA	NA	NA	NA	NA
Cutibacterium	0	NA	NA	NA	NA	NA
Defluviitaleaceae UCG-011	0	NA	NA	NA	NA	NA
Deinococcus	0	NA	NA	NA	NA	NA
Delftia	0	NA	NA	NA	NA	NA
Desulfocapsa	0	NA	NA	NA	NA	NA
Dialister	0	NA	NA	NA	NA	NA
Dielma	0	NA	NA	NA	NA	NA
Dorea	0	NA	NA	NA	NA	NA
Dyella	0	NA	NA	NA	NA	NA
Dysgonomonas	0	NA	NA	NA	NA	NA
Effusibacillus	0	NA	NA	NA	NA	NA
Enhydrobacter	0	NA	NA	NA	NA	NA
Enterorhabdus	0	NA	NA	NA	NA	NA
Erysipelotrichaceae UCG-003	0	NA	NA	NA	NA	NA
Erythrobacter	0	NA	NA	NA	NA	NA
Exiguobacterium	0	NA	NA	NA	NA	NA
