Features,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
ABC_transporters,37913,20834,28052,32965,9669,27649,28551,12860,8493,13603,9951,9602,6503,14755,16357,10581,13860,10090,19663,15031,15601,18157,303
Arginine_urea_cycle_polyamines,25512,13638,19971,21336,15418,18383,25095,12604,5350,10783,9165,10118,7136,16840,22064,10323,14742,10000,21625,17074,18897,24962,210
Protein_degradation,21650,12121,16837,19196,6620,15940,17007,13904,5063,12052,10332,10220,5557,15996,19727,11063,14921,10919,20873,17731,17731,20911,506
Folate_and_pterines,27092,14616,20447,23189,8414,19278,24152,10829,13088,9453,7624,7166,4565,12431,17198,8016,12176,7970,16375,13436,14732,22928,170
Transcription,16827,9622,12892,14758,4511,12022,17722,14342,6203,13217,11885,9859,5978,16030,18919,11831,16407,11890,21211,18365,17914,24680,416
Fermentation,19116,11199,14145,16910,10790,14167,18116,11136,6288,8782,7289,8198,4603,12730,19924,7479,10525,7360,15857,14483,14936,22035,166
ATP_synthases,12108,6530,9357,9801,2401,8985,12995,14727,4328,13216,11889,9922,4769,16495,18516,12446,16605,11890,21432,18193,17906,20125,424
Pyrimidines,16606,9328,12359,14523,5285,11892,16915,12027,6115,11370,8449,8306,4479,14345,17039,9935,13578,9302,19045,15219,15539,20627,173
Resistance_to_antibiotics_and_toxic_compounds,18055,10574,13356,16513,16150,13740,18405,9697,6476,9051,6654,6603,5967,12127,15517,7783,11089,6753,13863,11351,13459,21486,274
Aromatic_amino_acids_and_derivatives,25729,11948,20092,18625,7755,19284,13897,5417,6542,7812,5839,3441,3222,7960,7208,5878,8841,4748,10566,6755,9609,12369,390
NAD_and_NADP,16203,9142,12891,14182,4201,12396,12603,9696,3058,8262,7224,6694,3400,11083,12132,7633,10461,7558,14866,12288,12465,13790,177
Fatty_acids,20855,11809,16468,18874,6650,15901,16219,7437,3870,6103,5935,4606,2761,8647,9834,6449,8886,5774,10855,9204,9127,13696,103
Sugar_alcohols,7990,4546,6262,7488,7374,6341,17464,9895,3840,9324,8160,7407,6276,12764,13572,8153,11411,7814,16447,13118,14150,15175,248
Alanine_serine_and_glycine,15596,8694,11727,13165,6102,11528,12393,7515,3868,7408,6037,5393,3509,9674,11510,5557,8430,5707,12068,9309,10317,14986,210
Protein_folding,16472,8993,12501,13949,5291,11968,10781,7639,2963,6761,5960,4900,2883,9001,10040,6429,9361,5330,12323,10114,10939,13651,230
Oxidative_stress,4925,2601,3649,4116,7960,3770,7440,10186,2611,7949,8421,7984,4526,12101,14531,7461,10775,7194,16068,12683,13182,14896,276
Isoprenoids,10012,5274,7718,7952,1926,7409,11095,8648,2768,8297,6706,5800,3071,9721,12994,7193,9980,6819,12589,10520,10801,16401,271
One-carbon_Metabolism,5835,2649,4377,4116,2528,4204,7076,10905,4466,8552,7820,8031,3808,12457,14656,7699,10276,7451,16006,13189,13656,12266,261
Osmotic_stress,428,263,332,844,5493,264,4775,10078,1197,8685,7997,7845,4202,11830,14116,8029,10873,8149,15483,12738,12691,15821,190
CO2_fixation,8209,4813,6483,7288,3664,5982,9497,6572,4533,8471,7142,4603,3006,8778,9716,6250,8453,5693,9749,8357,8148,14226,496
Gram-Positive_cell_wall_components,9641,4829,7400,7614,905,7182,11289,5775,1168,4616,4758,5406,2197,8575,10877,4735,6490,3899,9817,8830,10115,15587,188
Glutamine_glutamate_aspartate_asparagine_ammonia_assimilation,11579,4470,8691,7158,4740,8409,6909,4759,3434,4681,3898,2768,2129,6280,7171,4226,5667,3671,7648,5693,7315,11637,70
Ribosomal_Protein_L28P_relates_to_a_set_of_uncharacterized_proteins,7837,4548,5991,6695,1380,5385,6924,5918,2309,7224,5801,4649,2722,7164,7564,5705,7432,5002,9161,7246,7360,8764,222
Cell_Division,6792,3625,5332,5520,1037,4974,7120,5995,2216,4494,4841,5409,2399,7554,10281,4116,6202,4418,9550,8437,8175,9438,89
Protein_processing_and_modification,14575,7841,11172,11531,3093,10181,8139,2975,6148,3207,3027,2610,2024,4760,4490,2869,4138,1935,5979,4218,4879,6626,32
Two_related_proteases,1931,987,1305,1604,196,1383,3480,7752,1113,6825,6393,5367,2520,8760,9052,6476,8463,6077,11544,9029,9671,10195,133
Sugar_Phosphotransferase_Systems_PTS,5253,3135,3909,4541,2732,3653,7174,6066,1575,4391,4907,5241,2360,8003,9673,4270,5805,3163,8709,7271,7258,6630,225
DNA_uptake_competence,466,122,264,133,782,169,4407,6756,1626,4850,5129,5269,2108,8502,10637,5029,7275,5389,11507,9604,9749,10442,165
Coenzyme_A,8462,4882,6365,7195,2313,6002,7278,4293,2041,3354,3699,3488,1890,5563,6827,3353,4518,2805,6329,4838,5570,5841,92
Protein_export?,6918,3801,5415,6183,1792,5081,6764,3601,2873,5919,4669,2271,1838,5897,4473,4690,6352,2897,7085,3981,6122,8185,43
Phospholipids,3627,2099,2792,3537,3192,2795,3666,5606,1638,5217,4660,4285,2555,6485,7449,4580,6115,3948,9041,7574,7170,7529,154
Protein_translocation_across_cytoplasmic_membrane,5307,2639,3790,3963,2076,3662,6593,4511,2906,4233,3232,3516,2242,5776,8433,3323,4588,3213,6708,5390,6281,11761,65
Clustering-based_subsystems,4036,2054,2900,3254,5579,2619,5671,5041,2578,3588,3327,3648,2277,6093,7945,3519,5130,3670,7679,6580,6820,8813,116
Cell_wall_of_Mycobacteria,9087,4928,7317,8496,1054,6518,6406,4198,771,2775,2804,2713,1275,4942,5550,3056,4414,2790,6280,4931,6041,6171,74
Adhesion,3613,2063,2767,2887,1697,2703,8647,3439,511,3813,3102,2330,1817,7299,7300,4103,4386,1972,4893,4828,7199,17924,120
Aminosugars,4326,2575,3403,3846,4532,3207,7414,4237,904,4343,4649,3513,2081,5062,6702,3606,4986,3423,6562,5391,6369,6080,167
Pyridoxine,8408,5040,6441,7939,1903,6561,4853,2776,585,3231,2405,2010,1244,3937,4227,2706,3677,2426,4439,3751,4221,6867,142
Electron_donating_reactions,3463,1865,2572,3306,10431,2478,4256,3015,6563,2852,2377,2081,2576,3886,4161,2359,3477,2294,4580,3926,4150,6820,90
Fatty_acid_metabolic_cluster,4121,2279,3230,3269,1144,2883,4374,3604,2198,3260,2925,2726,1411,4976,5105,2853,4598,3074,6081,4737,5738,6574,143
Nucleotidyl-phosphate_metabolic_cluster,6427,3310,5057,5038,1015,4699,4230,3666,511,2203,2475,2861,1117,4140,4885,2436,3658,2519,5579,4817,4576,5602,45
Heat_shock,3472,1866,2523,3142,581,2589,4396,4023,2396,2882,2970,3177,1314,4621,6073,3206,4261,3092,6440,5841,5490,6314,69
Tetrapyrroles,7135,3499,5148,5840,4607,4980,6171,1269,13506,1572,1400,871,1938,2334,2571,1517,2246,944,2464,1674,2730,6235,18
Cytochrome_biogenesis,8429,5055,6465,7793,1945,6571,5019,1955,527,2435,1763,1412,1061,2622,2704,1896,2800,1869,3203,2665,3024,4660,104
Branched-chain_amino_acids,11880,5842,8689,9550,2461,8359,8539,154,2745,302,78,107,830,780,1810,447,1087,37,234,426,1129,6646,2
Polysaccharides,12167,7256,9297,10832,2880,9027,5871,790,82,878,669,610,640,789,1037,664,750,524,1139,937,821,826,28
Riboflavin_FMN_FAD,8148,3650,6379,5612,1731,6273,4615,1434,1911,1006,989,1016,795,1810,2398,986,1567,984,2275,1914,1984,3216,19
Translation,5256,2883,3890,4484,2050,3561,4333,2273,1112,2009,1794,1491,1080,2501,2882,1776,2574,1772,3303,2628,3048,3594,73
Quinone_cofactors,1114,594,788,925,3165,738,5497,2307,4675,1740,1723,1942,1347,3827,3922,1388,2482,1477,3500,3545,3531,7437,152
Organic_acids,3068,1486,2523,2837,4058,2058,3004,2378,3779,2182,1749,1682,1343,2554,3762,1870,2445,1515,3820,2949,3205,2788,46
Histidine_Metabolism,10144,5776,8037,9529,1620,7605,5112,78,2171,414,48,119,379,121,25,93,106,6,45,128,642,2959,1
Selenoproteins,3873,2120,2869,3107,2184,2928,3184,2159,759,1663,1600,1493,987,2670,3314,1646,2336,1672,3459,2763,2888,4214,31
Ribosome-related_cluster,3343,2018,2582,2960,622,2515,2804,2372,417,1295,1524,2011,713,3044,3979,1160,2279,1488,4079,3187,3317,3540,42
Detoxification,5985,3101,4082,4760,4172,4483,3406,1288,966,1095,779,899,1088,1420,2002,908,1313,817,2049,1641,1962,2928,19
Electron_accepting_reactions,1055,332,671,1036,5893,351,4723,2089,1601,3278,2203,1597,1590,2417,3703,1840,2272,1704,2550,2079,2444,5597,23
Pathogenicity_islands,3202,1637,2601,2772,455,2382,3240,1316,986,1847,2123,893,966,2915,1920,2087,2944,966,3310,1731,3085,4911,80
Programmed_Cell_Death_and_Toxin-antitoxin_Systems,186,120,182,233,3176,257,4265,2383,697,2102,1873,1807,1178,3095,4376,1703,2984,2014,3466,2573,3657,4857,48
Gram-Negative_cell_wall_components,3151,1969,2398,2982,19406,2538,1994,29,5788,229,127,82,3599,102,87,49,195,7,46,7,107,363,4
Probably_GTP_or_GMP_signaling_related,2170,1148,1911,2295,844,1720,2935,1849,1154,1784,1519,1469,768,2215,2732,1640,2015,1469,3090,2712,2593,3362,33
DNA_recombination,2912,1736,2278,2697,437,2232,2516,1635,873,1331,1402,1394,620,1943,2126,1380,1814,1391,2360,2043,1960,2282,15
Uni-_Sym-_and_Antiporters,1383,767,1054,1267,2095,966,1733,1387,204,1029,1136,1296,1002,1918,3883,811,1425,732,2432,2432,2273,5423,25
tRNA_sulfuration,4333,1756,3431,2849,623,3313,2597,912,953,1114,892,640,378,966,1147,888,1091,839,1295,1130,1102,1558,33
Isoprenoid/cell_wall_biosynthesis:_PREDICTED_UNDECAPRENYL_DIPHOSPHATE_PHOSPHATASE,2042,1045,1559,1755,489,1256,1572,1606,995,1235,1130,1110,493,1839,2275,1188,1815,1210,2240,1877,1961,2564,25
Recombination_related_cluster,128,36,67,17,10,29,1358,1984,1240,908,1095,1354,347,2558,2937,1394,1998,1302,3446,3010,2967,4069,24
Three_hypotheticals_linked_to_lipoprotein_biosynthesis,2823,1823,2173,2684,465,2348,1878,1155,355,1222,1181,771,390,1345,1499,937,1321,1094,1316,1258,1345,2148,39
Metabolism_of_central_aromatic_intermediates,3833,2261,2804,3210,1050,2880,2686,891,64,778,445,562,1084,941,1312,523,608,505,1005,765,1000,1459,56
Flagellar_motility_in_Prokaryota,2054,927,1463,2019,12091,1215,692,558,679,496,394,362,214,671,745,456,666,396,903,752,759,938,15
Organic_sulfur_assimilation,1860,1097,1399,1848,2869,1518,1907,973,309,742,543,608,728,1115,1251,675,1065,644,1567,1287,1409,2034,7
Acid_stress,0,2,3,3,612,0,763,2099,197,1690,1383,1165,466,2092,1942,1370,2074,1570,2978,2253,2473,2167,22
Quorum_sensing_and_biofilm_formation,21,1,6,8,2628,0,2712,322,8,248,349,104,1809,2003,421,1978,1479,41,463,777,2186,7495,9
Chromosome_Replication,3988,1876,3160,2703,857,2957,1444,259,845,416,395,180,223,363,393,461,461,352,478,313,483,580,1
Anaerobic_degradation_of_aromatic_compounds,7,7,4,82,892,1,82,1483,363,1310,810,876,421,1786,1708,1129,1475,1114,2258,1863,2113,3332,17
Bacteriocins_ribosomally_synthesized_antibacterial_peptides,190,42,97,42,960,56,2217,1311,51,1028,673,937,549,1470,2687,657,986,707,1711,1403,1678,2673,15
Siderophores,94,11,44,65,9078,14,432,562,105,500,700,539,1325,719,968,564,789,613,1079,931,805,1156,7
Transposable_elements,2350,1442,1729,2335,598,1696,1540,405,386,389,480,332,261,793,632,184,486,352,1032,593,769,1469,4
Biosynthesis_of_galactoglycans_and_related_lipopolysacharides,1197,724,816,1265,451,830,580,896,797,674,734,610,390,1057,1571,719,1109,692,1251,955,1379,1311,18
Cold_shock,1054,677,800,954,288,886,1374,773,213,779,886,575,367,1010,1256,734,1097,705,1273,1062,1218,1455,25
Plant_Hormones,3275,1792,2526,2902,707,2299,1496,17,558,97,6,22,111,16,124,8,92,4,6,10,40,513,0
Hypothetical_in_Lysine_biosynthetic_cluster,1478,417,1192,706,670,1172,1199,651,345,572,432,398,320,663,748,471,604,439,815,675,765,730,15
Hypothetical_Related_to_Dihydroorate_Dehydrogenase,3263,1832,2471,2809,257,2426,1606,2,1,21,4,3,33,13,90,7,46,0,5,7,34,526,1
Biotin,1534,772,1156,1267,1239,1051,1439,100,1757,151,28,18,206,409,342,205,183,10,51,102,377,2086,0
Peripheral_pathways_for_catabolism_of_aromatic_compounds,22,9,8,113,884,7,929,880,94,680,642,559,524,958,1044,738,986,689,1135,1035,1033,1081,11
proteosome_related,2621,1480,2158,2188,91,1921,1301,0,0,0,0,0,2,0,0,7,152,0,7,2,8,326,0
Putative_asociate_of_RNA_polymerase_sigma-54_factor_rpoN,879,505,760,992,16,636,867,557,56,471,330,283,163,784,819,349,714,345,816,756,540,562,4
Probably_organic_hydroperoxide_resistance_related_hypothetical_protein,2015,1170,1679,1829,275,1493,1559,25,735,68,40,48,43,18,168,30,156,28,19,58,72,249,1
Hypothetical_protein_possible_functionally_linked_with_Alanyl-tRNA_synthetase,708,445,499,682,124,625,767,317,633,250,353,324,112,811,711,138,341,77,1040,654,960,832,2
recX_and_regulatory_cluster,209,110,184,155,74,170,407,665,172,418,381,408,136,821,920,443,591,449,937,846,873,990,9
DNA_polymerase_III_epsilon_cluster,15,6,8,46,668,2,445,579,690,302,376,457,233,765,876,334,514,331,1029,954,768,768,7
Protein_and_nucleoprotein_secretion_system_Type_IV,383,169,297,624,7343,227,342,24,73,1,1,7,38,3,5,8,3,0,3,1,6,76,0
D-tyrosyl-tRNA(Tyr)_deacylase_(EC_3.1.-.-)_cluster,1013,619,795,829,113,754,654,265,16,164,179,226,117,375,466,176,374,178,514,419,385,512,6
Inorganic_sulfur_assimilation,494,250,362,467,2141,305,614,105,52,120,20,28,414,107,1219,57,108,1,38,77,285,1550,1
Choline_bitartrate_degradation_putative,1427,831,1056,1294,299,1093,802,18,468,15,4,5,126,63,200,61,90,2,31,30,121,427,0
Regulation_of_virulence,144,113,108,120,807,75,865,396,261,441,259,254,262,387,584,345,357,272,359,495,454,836,1
Probably_Ybbk-related_hypothetical_membrane_proteins,1615,919,1313,1446,375,1267,907,4,3,54,1,13,42,1,6,1,55,2,1,2,1,98,0
Protein_secretion_system_Type_VII_(Chaperone/Usher_pathway_CU),7,2,2,5,6514,1,3,0,0,1,1,0,1259,4,4,0,2,3,0,1,1,5,0
Methylamine_utilization,573,321,384,567,20,383,459,247,39,147,162,150,100,263,299,213,252,186,333,285,331,388,1
Phosphate_metabolism,1215,725,978,1086,201,917,676,1,0,1,0,1,37,3,10,2,66,3,7,0,2,74,1
Related_to_Menaquinone-cytochrome_C_reductase_,129,19,73,19,2,25,340,362,15,400,328,235,111,437,460,365,451,327,499,382,501,423,6
Triacylglycerols,1,2,0,13,331,1,815,94,3,87,29,39,101,279,400,73,86,4,62,208,611,2501,0
Shiga_toxin_cluster,11,5,8,19,2526,2,4,7,1047,506,3,7,192,1,8,1,89,2,2,2,2,1070,23
Carbohydrates,22,36,3,87,2553,14,645,156,26,209,188,102,531,110,34,21,12,12,30,16,320,47,0
Invasion_and_intracellular_resistance,75,37,33,12,7,14,555,227,4,512,41,165,158,213,745,96,52,3,45,94,361,1124,0
Protein_secretion_system_Type_II,60,5,33,144,3578,13,1,1,185,3,0,2,310,3,2,1,21,1,5,1,8,23,1
Proline_and_4-hydroxyproline,46,24,22,198,1609,15,165,24,5,159,11,32,354,15,40,16,175,2,14,3,37,411,0
Plasmid_related_functions,1,0,0,1,1658,0,95,235,4,87,0,1,134,420,1,1,1,1,0,218,0,99,0
CRISPs,29,6,11,5,9,2,1871,38,238,222,9,69,60,12,13,2,38,0,1,0,0,71,0
Protein_secretion_system_Type_V,4,1,1,38,1734,0,0,0,586,0,0,0,235,4,0,0,0,0,0,0,0,4,0
Tricarboxylate_transporter,4,0,3,173,2045,3,1,0,0,0,0,0,197,0,2,0,0,0,0,0,1,2,0
Periplasmic_Stress,6,2,0,33,1949,3,4,13,8,65,7,19,223,4,6,0,17,0,1,0,1,5,0
Protein_secretion_system_Type_VI,14,0,9,12,1848,0,0,1,0,1,0,0,251,1,3,0,1,2,1,0,4,4,0
Putrescine/GABA_utilization_cluster-temporalto_add_to_SSs,8,5,3,70,762,5,1,63,9,38,19,40,249,96,25,90,127,65,140,76,57,95,0
Bacterial_cytostatics_differentiation_factors_and_antibiotics,1,0,0,23,58,0,0,90,7,87,60,57,31,147,135,91,168,110,177,122,176,210,5
Sodium_Ion-Coupled_Energetics,2,0,0,0,3,0,481,15,55,123,5,24,371,16,5,0,0,0,0,0,3,2,0
Toxins_and_superantigens,151,90,123,110,0,109,243,3,0,23,1,18,6,1,1,3,3,2,5,4,0,2,0
Dessication_stress,0,0,0,0,847,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Glycoside_hydrolases,55,16,40,33,178,15,26,7,3,28,0,3,29,1,68,5,1,0,0,0,42,182,0
TldD_cluster,6,0,0,8,426,0,0,0,0,1,0,0,170,1,0,0,0,0,0,0,2,0,0
CRISPRs_and_associated_hypotheticals,0,0,0,0,158,0,0,0,0,0,0,0,39,0,0,0,0,0,4,0,0,399,0
Sulfatases_and_sulfatase_modifying_factor_1_(and_a_hypothetical),1,0,2,29,394,0,0,0,3,0,0,1,150,0,0,0,0,0,0,0,0,0,0
Protein_secretion_system_Type_VIII_(Extracellular_nucleation/precipitation_pathway_ENP),8,1,8,1,555,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,1,0
Protein_secretion_system_Type_III,5,2,3,3,434,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,3,7,0
Lipoic_acid,1,1,0,12,304,0,0,0,4,0,0,0,59,0,0,1,55,1,2,0,6,75,0
DNA_metabolism,27,7,14,5,0,5,24,13,1,71,8,19,25,10,46,5,3,0,2,6,20,171,0
Spore_DNA_protection,74,18,44,19,0,18,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plant_Octadecanoids,0,0,0,4,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coenzyme_M,8,0,5,0,0,2,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hypothetical_lipase_related_to_Phosphatidate_metabolism,10,0,4,19,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0
Lysine_Biosynthesis,0,0,1,4,75,0,0,0,0,0,0,0,15,0,0,0,0,0,0,2,0,0,0
Chemotaxis_response_regulators,36,1,18,0,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alpha-proteobacterial_cluster_of_hypotheticals,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Protein_secretion_system_Type_I,7,1,3,0,0,0,1,0,0,4,0,1,13,0,0,0,0,0,0,0,4,8,0
Gene_Transfer_Agent_(GTA),0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Biosynthesis_of_phenylpropanoids,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,1,0,0,1,0
Social_motility_and_nonflagellar_swimming_in_bacteria,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Putative_GGDEF_domain_protein_related_to_agglutinin_secretion,2,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
Flagella_protein?,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pyruvate_kinase_associated_cluster,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Electron_transport_and_photophosphorylation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0
Putative_Isoquinoline_1-oxidoreductase_subunit,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
Proteolytic_pathway,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Catabolism_of_an_unknown_compound,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Lipid-derived_mediators,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Signal_transduction_in_Eukaryotes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
