Header	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
c__Amino_Acids_and_Derivatives;o__Arginine;_urea_cycle_polyamines;f__Arginine_and_Ornithine_Degradation;g__Arginine_permease_RocE	23	6	16	6	0	6	2	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0
c__Amino_Acids_and_Derivatives;o__Arginine;_urea_cycle_polyamines;f__Arginine_and_Ornithine_Degradation;g__Arginine_utilization_protein_RocB	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c__Amino_Acids_and_Derivatives;o__Arginine;_urea_cycle_polyamines;f__Arginine_and_Ornithine_Degradation;g__Arginine_utilization_regulatory_protein_RocR	49	6	14	6	0	4	2	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0
c__Amino_Acids_and_Derivatives;o__Arginine;_urea_cycle_polyamines;f__Arginine_and_Ornithine_Degradation;g__Arginine/agmatine_antiporter	0	1	1	0	332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c__Amino_Acids_and_Derivatives;o__Arginine;_urea_cycle_polyamines;f__Arginine_and_Ornithine_Degradation;g__Arginine/ornithine_ABC_transporter_ATP-binding_protein_AotP	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0
c__Amino_Acids_and_Derivatives;o__Arginine;_urea_cycle_polyamines;f__Arginine_and_Ornithine_Degradation;g__Arginine/ornithine_ABC_transporter_periplasmic_arginine/ornithine_binding_protein	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0
c__Amino_Acids_and_Derivatives;o__Arginine;_urea_cycle_polyamines;f__Arginine_and_Ornithine_Degradation;g__Arginine/ornithine_ABC_transporter_permease_protein_AotQ	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0
c__Amino_Acids_and_Derivatives;o__Arginine;_urea_cycle_polyamines;f__Arginine_and_Ornithine_Degradation;g__Arginine/ornithine_antiporter_ArcD	33	5	14	9	745	8	1024	2356	276	2487	1981	1659	999	4278	4269	2334	3285	1825	5132	3264	4681	5182	32
c__Amino_Acids_and_Derivatives;o__Arginine;_urea_cycle_polyamines;f__Arginine_and_Ornithine_Degradation;g__Biosynthetic_arginine_decarboxylase_(EC_4.1.1.19)	4	0	0	1	550	0	0	0	0	0	0	0	110	0	0	0	0	0	0	1	0	1	0
c__Amino_Acids_and_Derivatives;o__Arginine;_urea_cycle_polyamines;f__Arginine_and_Ornithine_Degradation;g__Histidine_ABC_transporter_ATP-binding_protein_HisP_(TC_3.A.1.3.1)	0	1	0	6	93	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	1	0	0
c__Amino_Acids_and_Derivatives;o__Arginine;_urea_cycle_polyamines;f__Arginine_and_Ornithine_Degradation;g__Histidine_ABC_transporter_histidine-binding_periplasmic_protein_precursor_HisJ_(TC_3.A.1.3.1)	0	0	0	0	115	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0
c__Amino_Acids_and_Derivatives;o__Arginine;_urea_cycle_polyamines;f__Arginine_and_Ornithine_Degradation;g__Histidine_ABC_transporter_permease_protein_HisM_(TC_3.A.1.3.1)	0	0	5	0	114	0	0	0	0	0	2	0	114	0	0	0	0	0	0	0	1	0	0
c__Amino_Acids_and_Derivatives;o__Arginine;_urea_cycle_polyamines;f__Arginine_and_Ornithine_Degradation;g__Histidine_ABC_transporter_permease_protein_HisQ_(TC_3.A.1.3.1)	0	1	2	4	167	0	0	0	0	0	0	2	50	0	0	1	0	0	0	0	0	2	0
c__Amino_Acids_and_Derivatives;o__Arginine;_urea_cycle_polyamines;f__Arginine_and_Ornithine_Degradation;g__Lysine-arginine-ornithine-binding_periplasmic_protein_precursor_(TC_3.A.1.3.1)	1	0	0	0	185	0	0	0	0	0	0	0	71	1	0	0	0	0	0	0	0	0	0
c__Amino_Acids_and_Derivatives;o__Arginine;_urea_cycle_polyamines;f__Arginine_and_Ornithine_Degradation;g__N-carbamoylputrescine_amidase_(3.5.1.53)	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	2	2	0	9	0
c__Amino_Acids_and_Derivatives;o__Arginine;_urea_cycle_polyamines;f__Arginine_and_Ornithine_Degradation;g__Ornithine_cyclodeaminase_(EC_4.3.1.12)	28	4	20	55	3	9	376	429	31	481	350	299	257	633	825	507	826	488	758	644	981	1387	11
c__Amino_Acids_and_Derivatives;o__Arginine;_urea_cycle_polyamines;f__Arginine_and_Ornithine_Degradation;g__Succinylarginine_dihydrolase_(EC_3.5.3.23)	3	0	1	0	202	0	0	0	0	0	0	0	18	0	2	0	0	0	0	0	1	0	0
c__Amino_Acids_and_Derivatives;o__Arginine;_urea_cycle_polyamines;f__Arginine_and_Ornithine_Degradation;g__Succinylglutamate_desuccinylase_(EC_3.5.1.96)	2	0	0	1	167	0	0	0	0	0	0	0	60	0	0	0	0	0	0	2	0	0	0
c__Amino_Acids_and_Derivatives;o__Arginine;_urea_cycle_polyamines;f__Arginine_and_Ornithine_Degradation;g__Succinylglutamic_semialdehyde_dehydrogenase_(EC_1.2.1.71)	0	0	4	0	233	0	0	0	0	0	0	0	82	0	1	0	0	0	0	0	0	0	0
c__Amino_Acids_and_Derivatives;o__Arginine;_urea_cycle_polyamines;f__Arginine_and_Ornithine_Degradation;g__Transcriptional_regulator_ArcR_essential_for_anaerobic_expression_of_the_ADI_pathway_Crp/Fnr_family	12	3	5	3	1	3	430	481	55	401	411	358	178	547	780	455	621	425	711	525	570	679	15
c__Amino_Acids_and_Derivatives;o__Arginine;_urea_cycle_polyamines;f__Arginine_and_Ornithine_Degradation;g__Transcriptional_regulator_of_catabolic_arginine_decarboxylase_(adiA)	0	0	0	0	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c__Amino_Acids_and_Derivatives;o__Arginine;_urea_cycle_polyamines;f__Arginine_Biosynthesis_extended;g__Acetylglutamate_kinase_(EC_2.7.2.8)	1749	1023	1282	1369	252	1290	814	1	205	0	2	1	31	3	1	3	1	0	4	2	18	254	0
c__Amino_Acids_and_Derivatives;o__Arginine;_urea_cycle_polyamines;f__Arginine_Biosynthesis_extended;g__Acetylornithine_aminotransferase_(EC_2.6.1.11)	1746	233	1380	521	473	1252	251	0	474	0	6	1	89	15	3	6	6	0	6	12	67	359	0
c__Amino_Acids_and_Derivatives;o__Arginine;_urea_cycle_polyamines;f__Arginine_Biosynthesis_extended;g__Acetylornithine_aminotransferase_2_(EC_2.6.1.11)	0	0	0	0	0	0	81	11	0	30	7	6	14	24	345	6	9	0	6	26	120	497	0
c__Amino_Acids_and_Derivatives;o__Arginine;_urea_cycle_polyamines;f__Arginine_Biosynthesis_extended;g__Acetylornithine_deacetylase_(EC_3.5.1.16)	6	2	0	1	322	0	1040	527	484	654	418	467	342	851	1689	314	491	512	854	595	633	1441	13
c__Amino_Acids_and_Derivatives;o__Arginine;_urea_cycle_polyamines;f__Arginine_Biosynthesis_extended;g__Arginine_pathway_regulatory_protein_ArgR_repressor_of_arg_regulon	617	396	466	576	290	423	1527	807	68	842	536	560	310	916	1100	668	933	685	1264	1076	1159	1346	18
c__Amino_Acids_and_Derivatives;o__Arginine;_urea_cycle_polyamines;f__Arginine_Biosynthesis_extended;g__Argininosuccinate_lyase_(EC_4.3.2.1)	1982	1113	1490	1734	504	1344	949	19	775	86	18	14	91	47	131	21	11	4	13	33	77	532	0
c__Amino_Acids_and_Derivatives;o__Arginine;_urea_cycle_polyamines;f__Arginine_Biosynthesis_extended;g__Argininosuccinate_synthase_(EC_6.3.4.5)	2148	1193	1726	1972	411	1602	1111	13	738	72	3	11	95	28	64	18	11	1	11	19	67	464	0
c__Amino_Acids_and_Derivatives;o__Arginine;_urea_cycle_polyamines;f__Arginine_Biosynthesis_extended;g__Glutamate_N-acetyltransferase_(EC_2.3.1.35)	30	3	18	27	1	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	0
c__Amino_Acids_and_Derivatives;o__Arginine;_urea_cycle_polyamines;f__Arginine_Biosynthesis_extended;g__N-acetyl-gamma-glutamyl-phosphate_reductase_(EC_1.2.1.38)	1767	1027	1524	1483	274	1337	866	0	385	0	7	2	50	18	1	8	4	1	9	9	50	310	0
c__Amino_Acids_and_Derivatives;o__Arginine;_urea_cycle_polyamines;f__Arginine_Biosynthesis_extended;g__N-acetylglutamate_synthase_(EC_2.3.1.1)	1559	902	1288	1642	393	1278	822	2	0	1	4	0	78	17	0	12	9	0	4	9	47	443	0
c__Amino_Acids_and_Derivatives;o__Arginine;_urea_cycle_polyamines;f__Arginine_Biosynthesis_extended;g__N-succinyl-LL-diaminopimelate_desuccinylase_(EC_3.5.1.18)	2627	1412	2010	2314	254	1772	1178	1	5	1	0	0	34	3	0	3	74	2	2	1	0	54	0
c__Amino_Acids_and_Derivatives;o__Arginine;_urea_cycle_polyamines;f__Arginine_Deiminase_Pathway;g__Arginine_deiminase_(EC_3.5.3.6)	0	0	1	2	869	0	791	1209	68	879	728	834	346	1267	1846	766	1103	884	1784	1567	1468	1686	11
c__Amino_Acids_and_Derivatives;o__Arginine;_urea_cycle_polyamines;f__Arginine_Deiminase_Pathway;g__Carbamate_kinase_(EC_2.7.2.2)	2	0	0	0	1410	0	2199	1058	336	732	533	890	315	1326	1852	557	993	562	1722	1455	1638	1875	5
c__Amino_Acids_and_Derivatives;o__Arginine;_urea_cycle_polyamines;f__Cyanophycin_Metabolism;g__Asparagine_synthetase_[glutamine-hydrolyzing]_(EC_6.3.5.4)	129	40	62	22	281	33	29	1693	75	1085	1369	1423	621	1960	2838	1517	1974	1386	2730	2341	2168	2226	28
c__Amino_Acids_and_Derivatives;o__Arginine;_urea_cycle_polyamines;f__Cyanophycin_Metabolism;g__Cyanophycin_synthase_(EC_6.3.2.29)(EC_6.3.2.30)	4	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0
c__Amino_Acids_and_Derivatives;o__Arginine;_urea_cycle_polyamines;f__Cyanophycin_Metabolism;g__Cyanophycin_synthase_II	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c__Amino_Acids_and_Derivatives;o__Arginine;_urea_cycle_polyamines;f__Cyanophycin_Metabolism;g__Cyanophycinase_2_(EC_3.4.15.6)	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c__Amino_Acids_and_Derivatives;o__Arginine;_urea_cycle_polyamines;f__Polyamine_Metabolism;g__ABC_transporter_periplasmic_spermidine_putrescine-binding_protein_PotD_(TC_3.A.1.11.1)	33	13	19	64	356	10	1235	1090	58	769	675	869	492	1229	1647	776	1083	809	1666	1174	1111	1276	29
c__Amino_Acids_and_Derivatives;o__Arginine;_urea_cycle_polyamines;f__Polyamine_Metabolism;g__Agmatine/putrescine_antiporter_associated_with_agmatine_catabolism	0	0	0	0	1	0	657	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
c__Amino_Acids_and_Derivatives;o__Arginine;_urea_cycle_polyamines;f__Polyamine_Metabolism;g__Arginine_decarboxylase_(EC_4.1.1.19)	57	12	36	35	0	20	4	0	0	0	0	0	3	0	0	0	2	2	1	0	2	3	0
c__Amino_Acids_and_Derivatives;o__Arginine;_urea_cycle_polyamines;f__Polyamine_Metabolism;g__Arginine/ornithine_antiporter	8	0	1	1	493	1	1	488	37	379	267	513	215	376	835	397	583	395	821	620	680	504	9
c__Amino_Acids_and_Derivatives;o__Arginine;_urea_cycle_polyamines;f__Polyamine_Metabolism;g__DNA-binding_response_regulator_LuxR_family_near_polyamine_transporter	0	0	4	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
c__Amino_Acids_and_Derivatives;o__Arginine;_urea_cycle_polyamines;f__Polyamine_Metabolism;g__Ornithine_decarboxylase_(EC_4.1.1.17)	0	10	2	2	879	3	29	12	60	134	5	23	96	6	1	0	1	0	0	0	0	4	0
c__Amino_Acids_and_Derivatives;o__Arginine;_urea_cycle_polyamines;f__Polyamine_Metabolism;g__Predicted_chaperone_lipoprotein_YacC_potentially_involved_in_protein_secretion	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c__Amino_Acids_and_Derivatives;o__Arginine;_urea_cycle_polyamines;f__Polyamine_Metabolism;g__Probable_two-component_sensor_near_polyamine_transporter	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c__Amino_Acids_and_Derivatives;o__Arginine;_urea_cycle_polyamines;f__Polyamine_Metabolism;g__Putrescine_carbamoyltransferase_(EC_2.1.3.6)	0	0	0	0	2	0	592	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
c__Amino_Acids_and_Derivatives;o__Arginine;_urea_cycle_polyamines;f__Polyamine_Metabolism;g__Putrescine_transport_ATP-binding_protein_PotA_(TC_3.A.1.11.1)	29	13	20	54	331	5	1089	1127	74	806	907	1032	473	1571	1592	950	1349	1012	2060	1801	1482	1666	19
c__Amino_Acids_and_Derivatives;o__Arginine;_urea_cycle_polyamines;f__Polyamine_Metabolism;g__Putrescine_transport_system_permease_protein_PotI_(TC_3.A.1.11.2)	0	0	0	8	153	0	0	0	0	0	0	0	20	0	2	0	0	0	0	0	0	1	0
c__Amino_Acids_and_Derivatives;o__Arginine;_urea_cycle_polyamines;f__Polyamine_Metabolism;g__Putrescine/proton_symporter_putrescine/ornithine_antiporter_PotE	0	0	0	0	258	0	0	0	253	0	0	0	2	0	0	0	2	0	0	0	0	0	0
c__Amino_Acids_and_Derivatives;o__Arginine;_urea_cycle_polyamines;f__Polyamine_Metabolism;g__S-adenosylmethionine_decarboxylase_proenzyme_(EC_4.1.1.50)_prokaryotic_class_1A	0	0	0	0	148	0	0	0	181	0	0	0	7	0	0	0	0	0	0	0	0	1	0
c__Amino_Acids_and_Derivatives;o__Arginine;_urea_cycle_polyamines;f__Polyamine_Metabolism;g__S-adenosylmethionine_decarboxylase_proenzyme_(EC_4.1.1.50)_prokaryotic_class_1B	15	2	9	3	0	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
c__Amino_Acids_and_Derivatives;o__Arginine;_urea_cycle_polyamines;f__Polyamine_Metabolism;g__Spermidine_N1-acetyltransferase_(EC_2.3.1.57)	0	0	0	0	111	0	88	44	2	75	5	10	74	55	91	18	17	1	2	4	33	241	1
c__Amino_Acids_and_Derivatives;o__Arginine;_urea_cycle_polyamines;f__Polyamine_Metabolism;g__Spermidine_Putrescine_ABC_transporter_permease_component_PotB_(TC_3.A.1.11.1)	28	6	11	41	398	4	789	560	29	416	410	520	254	653	990	420	637	486	1048	864	762	883	9
c__Amino_Acids_and_Derivatives;o__Arginine;_urea_cycle_polyamines;f__Polyamine_Metabolism;g__Spermidine_Putrescine_ABC_transporter_permease_component_potC_(TC_3.A.1.11.1)	34	12	16	42	261	6	890	670	49	451	514	621	324	936	1151	547	661	517	990	999	968	895	9
c__Amino_Acids_and_Derivatives;o__Arginine;_urea_cycle_polyamines;f__Polyamine_Metabolism;g__Spermidine_synthase_(EC_2.5.1.16)	70	11	32	19	143	11	3	0	514	0	1	0	24	0	1	1	23	0	1	0	0	2	0
c__Amino_Acids_and_Derivatives;o__Arginine;_urea_cycle_polyamines;f__Polyamine_Metabolism;g__Transcriptional_regulator_luxR_family_associated_with_agmatine_catabolism	0	0	0	0	3	0	344	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0
c__Amino_Acids_and_Derivatives;o__Arginine;_urea_cycle_polyamines;f__Putrescine_utilization_pathways;g__4-aminobutyraldehyde_dehydrogenase_(EC_1.2.1.19)	0	0	4	0	242	0	1	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0
c__Amino_Acids_and_Derivatives;o__Arginine;_urea_cycle_polyamines;f__Putrescine_utilization_pathways;g__Gamma-aminobutyrate:alpha-ketoglutarate_aminotransferase_(EC_2.6.1.19)	0	0	0	28	352	0	0	0	0	0	0	0	11	0	0	1	0	0	2	0	0	97	1
c__Amino_Acids_and_Derivatives;o__Arginine;_urea_cycle_polyamines;f__Putrescine_utilization_pathways;g__Gamma-glutamyl-aminobutyraldehyde_dehydrogenase_(EC_1.2.1.-)	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0
c__Amino_Acids_and_Derivatives;o__Arginine;_urea_cycle_polyamines;f__Putrescine_utilization_pathways;g__Gamma-glutamyl-GABA_hydrolase_(EC_3.5.1.94)	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0
c__Amino_Acids_and_Derivatives;o__Arginine;_urea_cycle_polyamines;f__Putrescine_utilization_pathways;g__Putrescine_aminotransferase_(EC_2.6.1.82)	0	0	0	0	394	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0
c__Amino_Acids_and_Derivatives;o__Arginine;_urea_cycle_polyamines;f__Putrescine_utilization_pathways;g__Putrescine_importer	1	0	1	0	107	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0
