Graz_Klagenfurt						
order	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Hypothetical_lipase_related_to_Phosphatidate_metabolism	6.896	6.065	2.983	2.033	0.042	0.085
DNA_metabolism	18.354	-1.682	0.84	-2.001	0.045	0.089
Protein_processing_and_modification	5993.263	0.666	0.337	1.976	0.048	0.093
Resistance_to_antibiotics_and_toxic_compounds	11295.487	0.264	0.135	1.954	0.051	0.097
Putrescine/GABA_utilization_cluster-temporalto_add_to_SSs	28.094	-1.578	0.809	-1.951	0.051	0.097
Pyrimidines	10588.334	-0.242	0.126	-1.918	0.055	0.103
Hypothetical_in_Lysine_biosynthetic_cluster	673.003	0.361	0.191	1.888	0.059	0.109
Cell_wall_of_Mycobacteria	4009.198	0.549	0.298	1.843	0.065	0.118
Bacteriocins_ribosomally_synthesized_antibacterial_peptides	768.842	-1.475	0.798	-1.849	0.065	0.118
Protein_biosynthesis	57939.103	-0.315	0.176	-1.79	0.073	0.131
Chemotaxis_response_regulators	3.322	5.014	2.849	1.76	0.078	0.138
Programmed_Cell_Death_and_Toxin-antitoxin_Systems	1716.512	-1.237	0.712	-1.738	0.082	0.141
Peripheral_pathways_for_catabolism_of_aromatic_compounds	505.103	-1.621	0.931	-1.742	0.081	0.141
Periplasmic_Stress	13.047	-1.611	0.947	-1.701	0.089	0.151
Adhesion	3242.335	-0.528	0.317	-1.665	0.096	0.161
Aminosugars	3849.256	-0.356	0.23	-1.547	0.122	0.203
Carbohydrates	172.67	-1.42	0.925	-1.535	0.125	0.203
Protein_secretion_system_Type_V	32.862	-3.582	2.327	-1.54	0.124	0.203
Glutamine_glutamate_aspartate_asparagine_ammonia_assimilation	5399.034	0.233	0.161	1.447	0.148	0.236
Biosynthesis_of_phenylpropanoids	1.675	-4.372	3.011	-1.452	0.146	0.236
Methylamine_utilization	237.814	0.637	0.447	1.425	0.154	0.243
Uni-_Sym-_and_Antiporters	1335.702	-0.483	0.35	-1.379	0.168	0.262
Glycoside_hydrolases	32.583	1.343	1.012	1.327	0.184	0.285
Organic_acids	2681.884	-0.439	0.334	-1.312	0.189	0.29
Folate_and_pterines	13712.727	0.307	0.239	1.286	0.199	0.3
Protein_secretion_system_Type_VI	2.214	2.086	1.627	1.282	0.2	0.3
Fermentation	11366.453	0.125	0.101	1.229	0.219	0.325
DNA_repair	42935.654	0.191	0.163	1.175	0.24	0.353
Cold_shock	735.576	-0.258	0.227	-1.135	0.256	0.373
Electron_accepting_reactions	2246.281	-0.639	0.582	-1.098	0.272	0.393
Regulation_of_virulence	347.559	-0.617	0.577	-1.07	0.285	0.407
RNA_processing_and_modification	35104.649	0.106	0.105	1.01	0.312	0.443
Coenzyme_M	0.715	2.803	3.007	0.932	0.351	0.493
Sodium_Ion-Coupled_Energetics	89.038	-1.599	1.742	-0.918	0.359	0.499
Coenzyme_A	4515.441	0.135	0.149	0.903	0.366	0.504
Protein_export?	4288.794	-0.2	0.223	-0.895	0.371	0.504
Protein_secretion_system_Type_III	0.661	2.685	3.01	0.892	0.372	0.504
Protein_secretion_system_Type_VIII_(Extracellular_nucleation/precipitation_pathway_ENP)	0.978	2.405	3.002	0.801	0.423	0.568
Gram-Negative_cell_wall_components	1463.812	0.72	0.913	0.788	0.431	0.573
Putative_GGDEF_domain_protein_related_to_agglutinin_secretion	1.026	-2.286	3.024	-0.756	0.45	0.593
Hypothetical_protein_possible_functionally_linked_with_Alanyl-tRNA_synthetase	476.422	-0.298	0.407	-0.732	0.464	0.607
Lysine_threonine_methionine_and_cysteine	25439.083	0.106	0.155	0.685	0.493	0.627
NAD_and_NADP	8741.745	0.117	0.169	0.691	0.489	0.627
Nucleotidyl-phosphate_metabolic_cluster	3077.821	0.197	0.3	0.657	0.511	0.627
Protein_secretion_system_Type_VII_(Chaperone/Usher_pathway_CU)	1.724	0.705	1.077	0.655	0.512	0.627
Sulfatases_and_sulfatase_modifying_factor_1_(and_a_hypothetical)	1.962	1.985	2.971	0.668	0.504	0.627
Protein_secretion_system_Type_I	2.627	-1.626	2.367	-0.687	0.492	0.627
Social_motility_and_nonflagellar_swimming_in_bacteria	0.41	2.01	3.027	0.664	0.507	0.627
Flagella_protein?	0.404	1.991	3.028	0.657	0.511	0.627
Plasmid_related_functions	191.126	1.233	1.932	0.638	0.523	0.636
Protein_secretion_system_Type_II	41.157	-0.873	1.387	-0.63	0.529	0.637
TldD_cluster	0.735	1.846	3.011	0.613	0.54	0.645
DNA_replication	15673.312	0.105	0.18	0.585	0.559	0.663
Plant-Prokaryote_DOE_project	71036.172	0.074	0.135	0.548	0.584	0.687
Protein_degradation	12514.184	-0.057	0.133	-0.429	0.668	0.78
Purines	23902.523	-0.066	0.159	-0.415	0.678	0.781
Dessication_stress	0.175	-1.275	3.078	-0.414	0.679	0.781
Lysine_Biosynthesis	0.233	1.24	3.056	0.406	0.685	0.782
Pyruvate_kinase_associated_cluster	0.224	1.2	3.058	0.392	0.695	0.787
Putative_asociate_of_RNA_polymerase_sigma-54_factor_rpoN	468.079	0.196	0.526	0.372	0.71	0.798
Proline_and_4-hydroxyproline	47.945	0.26	0.741	0.351	0.725	0.81
Gram-Positive_cell_wall_components	5481.556	-0.108	0.329	-0.326	0.744	0.818
Ribosome-related_cluster	1934.701	-0.089	0.293	-0.304	0.761	0.818
Plant_Octadecanoids	0.18	0.949	3.067	0.309	0.757	0.818
Electron_transport_and_photophosphorylation	0.046	-0.921	3.079	-0.299	0.765	0.818
Putative_Isoquinoline_1-oxidoreductase_subunit	0.085	-0.921	3.079	-0.299	0.765	0.818
Lipid-derived_mediators	0.129	-0.921	3.079	-0.299	0.765	0.818
Pathogenicity_islands	1819.263	-0.067	0.285	-0.236	0.814	0.859
Quorum_sensing_and_biofilm_formation	750.927	-0.317	1.393	-0.228	0.82	0.859
Lipoic_acid	1.219	0.711	2.983	0.238	0.812	0.859
Proteolytic_pathway	0.17	-0.508	3.079	-0.165	0.869	0.904
DNA_recombination	1618.775	0.029	0.248	0.116	0.908	0.938
Phages_Prophages	21447.226	0.009	0.277	0.033	0.974	0.997
Triacylglycerols	124.578	0.038	1.305	0.029	0.977	0.997
CRISPRs_and_associated_hypotheticals	0	0	0	0	1	1
alpha-proteobacterial_cluster_of_hypotheticals	0	0	0	0	1	1
Gene_Transfer_Agent_(GTA)	0	0	0	0	1	1
Catabolism_of_an_unknown_compound	0	NA	NA	NA	NA	NA
Signal_transduction_in_Eukaryotes	0	NA	NA	NA	NA	NA
						
Graz_Leoben						
order	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Sodium_Ion-Coupled_Energetics	52.56	-7.584	1.315	-5.77	0	0
proteosome_related	7.712	5.768	1.886	3.059	0.002	0.129
Carbohydrates	114.862	-2.482	0.824	-3.011	0.003	0.129
CRISPs	52.825	-3.597	1.261	-2.853	0.004	0.161
Protein_folding	5831.321	0.199	0.073	2.726	0.006	0.191
Protein_secretion_system_Type_V	23.702	-7.567	2.973	-2.545	0.011	0.272
Electron_accepting_reactions	1814.721	-0.454	0.191	-2.384	0.017	0.365
Periplasmic_Stress	8.153	-2.647	1.135	-2.332	0.02	0.367
Inorganic_sulfur_assimilation	134.976	-1.847	0.808	-2.285	0.022	0.369
Coenzyme_A	3191.492	-0.17	0.079	-2.16	0.031	0.425
Bacterial_cytostatics_differentiation_factors_and_antibiotics	82.743	0.674	0.313	2.152	0.031	0.425
Central_carbohydrate_metabolism	31671.651	0.22	0.108	2.043	0.041	0.488
Organic_acids	2017.761	-0.512	0.257	-1.989	0.047	0.488
Protein_secretion_system_Type_II	23.177	-2.677	1.331	-2.012	0.044	0.488
Lipoic_acid	5.094	4.036	2.052	1.967	0.049	0.488
Protein_processing_and_modification	3063.663	-0.552	0.295	-1.869	0.062	0.559
Cytochrome_biogenesis	1782.934	0.332	0.179	1.853	0.064	0.559
Pyridoxine	2453.799	0.355	0.199	1.784	0.074	0.616
ABC_transporters	9962.169	-0.144	0.091	-1.575	0.115	0.76
Isoprenoids	6539.933	0.172	0.108	1.589	0.112	0.76
Anaerobic_degradation_of_aromatic_compounds	999.181	0.283	0.17	1.659	0.097	0.76
Protein_and_nucleoprotein_secretion_system_Type_IV	15.979	-1.945	1.194	-1.628	0.103	0.76
Toxins_and_superantigens	4.107	-1.717	1.096	-1.566	0.117	0.76
Transcription	10973.626	0.102	0.066	1.537	0.124	0.771
Plant-Prokaryote_DOE_project	55245.217	0.053	0.044	1.221	0.222	0.849
Protein_degradation	10562.664	0.15	0.112	1.336	0.181	0.849
Folate_and_pterines	8822.308	-0.25	0.203	-1.229	0.219	0.849
ATP_synthases	10638.388	0.172	0.126	1.36	0.174	0.849
DNA_uptake_competence	4975.594	0.194	0.153	1.264	0.206	0.849
Protein_translocation_across_cytoplasmic_membrane	3588.945	-0.155	0.127	-1.224	0.221	0.849
Fatty_acid_metabolic_cluster	3050.232	0.136	0.106	1.287	0.198	0.849
Riboflavin_FMN_FAD	1201.641	-0.328	0.242	-1.356	0.175	0.849
Pathogenicity_islands	1615.257	0.274	0.224	1.222	0.222	0.849
Chromosome_Replication	336.185	-0.596	0.445	-1.34	0.18	0.849
Hypothetical_in_Lysine_biosynthetic_cluster	444.192	-0.164	0.112	-1.462	0.144	0.849
Choline_bitartrate_degradation_putative	95.451	-1.43	1.009	-1.418	0.156	0.849
Regulation_of_virulence	286.506	-0.289	0.21	-1.379	0.168	0.849
Triacylglycerols	153.652	1.14	0.899	1.268	0.205	0.849
Plasmid_related_functions	57.578	-2.002	1.571	-1.274	0.203	0.849
Protein_biosynthesis	51547.725	0.093	0.08	1.163	0.245	0.859
DNA_repair	32203.778	0.066	0.06	1.101	0.271	0.859
Fermentation	8142.587	-0.125	0.11	-1.133	0.257	0.859
Gram-Positive_cell_wall_components	4840.59	0.236	0.197	1.198	0.231	0.859
Cell_wall_of_Mycobacteria	2760.87	0.191	0.168	1.137	0.256	0.859
Adhesion	3356.599	0.338	0.301	1.122	0.262	0.859
Hypothetical_Related_to_Dihydroorate_Dehydrogenase	28.42	1.222	1.097	1.114	0.265	0.859
DNA_polymerase_III_epsilon_cluster	443.666	-0.327	0.28	-1.166	0.244	0.859
Detoxification	1033.194	-0.197	0.182	-1.086	0.277	0.861
Histidine_Metabolism	137.874	-0.798	0.762	-1.047	0.295	0.866
Siderophores	587.397	-0.409	0.396	-1.034	0.301	0.866
Biosynthesis_of_galactoglycans_and_related_lipopolysacharides	709.734	-0.176	0.166	-1.064	0.287	0.866
Methylamine_utilization	155.162	0.225	0.218	1.032	0.302	0.866
Biosynthesis_of_phenylpropanoids	1.355	-3.039	2.985	-1.018	0.309	0.867
Invasion_and_intracellular_resistance	156.608	-0.837	0.847	-0.989	0.323	0.891
NAD_and_NADP	6798.23	0.096	0.102	0.946	0.344	0.901
Cold_shock	662.819	0.147	0.155	0.945	0.345	0.901
Hypothetical_protein_possible_functionally_linked_with_Alanyl-tRNA_synthetase	347.702	-0.437	0.463	-0.945	0.345	0.901
Putative_GGDEF_domain_protein_related_to_agglutinin_secretion	0.698	-2.795	3.006	-0.93	0.352	0.905
NULL	182562.968	0.021	0.038	0.569	0.57	0.949
Di-_and_oligosaccharides	60533.499	0.105	0.257	0.408	0.683	0.949
RNA_processing_and_modification	26942.155	0.043	0.056	0.765	0.444	0.949
Monosaccharides	34155.793	0.156	0.254	0.614	0.539	0.949
Lysine_threonine_methionine_and_cysteine	19589.692	0.057	0.177	0.323	0.746	0.949
Purines	19660.52	0.083	0.108	0.768	0.443	0.949
Capsular_and_extracellular_polysacchrides	20323.413	0.094	0.165	0.57	0.569	0.949
Phages_Prophages	17279.787	0.08	0.223	0.36	0.719	0.949
DNA_replication	11967.035	0.037	0.111	0.337	0.736	0.949
Resistance_to_antibiotics_and_toxic_compounds	7899.492	-0.072	0.097	-0.737	0.461	0.949
Aromatic_amino_acids_and_derivatives	5898.052	0.143	0.248	0.576	0.565	0.949
Fatty_acids	5424.057	0.039	0.099	0.394	0.694	0.949
Alanine_serine_and_glycine	5989.567	-0.019	0.044	-0.424	0.671	0.949
Oxidative_stress	7447.645	0.053	0.128	0.417	0.677	0.949
One-carbon_Metabolism	7553.884	-0.032	0.102	-0.309	0.757	0.949
Osmotic_stress	7161.176	0.106	0.214	0.498	0.619	0.949
CO2_fixation	6364.489	0.208	0.236	0.882	0.378	0.949
Ribosomal_Protein_L28P_relates_to_a_set_of_uncharacterized_proteins	4881.133	0.06	0.14	0.426	0.67	0.949
Cell_Division	4439.658	-0.085	0.127	-0.672	0.502	0.949
Two_related_proteases	5246.958	0.131	0.202	0.649	0.516	0.949
Protein_export?	3418.745	-0.112	0.222	-0.506	0.613	0.949
Phospholipids	4187.63	0.055	0.121	0.453	0.651	0.949
Aminosugars	3478.882	0.083	0.194	0.428	0.669	0.949
Electron_donating_reactions	2532.606	-0.055	0.129	-0.428	0.668	0.949
Nucleotidyl-phosphate_metabolic_cluster	2358.727	0.131	0.221	0.593	0.553	0.949
Tetrapyrroles	1432.967	-0.103	0.284	-0.362	0.717	0.949
Branched-chain_amino_acids	798.131	-0.593	0.843	-0.704	0.481	0.949
Polysaccharides	591.928	-0.12	0.305	-0.392	0.695	0.949
Translation	1731.258	0.031	0.068	0.462	0.644	0.949
Quinone_cofactors	2486.973	-0.19	0.35	-0.542	0.588	0.949
Selenoproteins	1581.699	0.068	0.091	0.746	0.456	0.949
Gram-Negative_cell_wall_components	79.711	-0.418	0.656	-0.637	0.524	0.949
DNA_recombination	1190.482	-0.107	0.137	-0.777	0.437	0.949
tRNA_sulfuration	797.053	-0.112	0.205	-0.544	0.587	0.949
Isoprenoid/cell_wall_biosynthesis:_PREDICTED_UNDECAPRENYL_DIPHOSPHATE_PHOSPHATASE	1142.895	-0.04	0.12	-0.334	0.739	0.949
Recombination_related_cluster	1399.187	0.179	0.241	0.744	0.457	0.949
Three_hypotheticals_linked_to_lipoprotein_biosynthesis	881.462	0.08	0.172	0.466	0.641	0.949
Flagellar_motility_in_Prokaryota	463.488	-0.135	0.227	-0.596	0.551	0.949
Acid_stress	1212.248	0.187	0.273	0.686	0.493	0.949
Quorum_sensing_and_biofilm_formation	852.809	0.656	0.817	0.802	0.422	0.949
Bacteriocins_ribosomally_synthesized_antibacterial_peptides	826.365	-0.112	0.366	-0.306	0.76	0.949
Transposable_elements	393.061	-0.134	0.263	-0.51	0.61	0.949
Plant_Hormones	45.606	-0.284	0.946	-0.3	0.764	0.949
Biotin	166.194	0.411	0.804	0.512	0.609	0.949
recX_and_regulatory_cluster	417.798	0.161	0.19	0.847	0.397	0.949
D-tyrosyl-tRNA(Tyr)_deacylase_(EC_3.1.-.-)_cluster	201.401	0.27	0.335	0.806	0.42	0.949
Probably_Ybbk-related_hypothetical_membrane_proteins	13.95	-0.602	1.194	-0.504	0.614	0.949
Protein_secretion_system_Type_VII_(Chaperone/Usher_pathway_CU)	0.89	0.572	1.51	0.379	0.705	0.949
Phosphate_metabolism	11.731	0.693	1.368	0.507	0.612	0.949
Related_to_Menaquinone-cytochrome_C_reductase_	254.183	0.17	0.371	0.457	0.648	0.949
Shiga_toxin_cluster	230.576	-0.951	1.429	-0.665	0.506	0.949
Proline_and_4-hydroxyproline	28.478	-0.363	0.878	-0.413	0.679	0.949
Protein_secretion_system_Type_VI	0.69	1.123	1.517	0.74	0.459	0.949
Putrescine/GABA_utilization_cluster-temporalto_add_to_SSs	66.159	-0.471	0.705	-0.668	0.504	0.949
CRISPRs_and_associated_hypotheticals	0.127	1.444	3.038	0.475	0.635	0.949
Sulfatases_and_sulfatase_modifying_factor_1_(and_a_hypothetical)	0.363	-1.664	3.038	-0.548	0.584	0.949
Protein_secretion_system_Type_III	0.289	2.38	3.013	0.79	0.43	0.949
DNA_metabolism	16.597	-0.728	1.034	-0.704	0.481	0.949
Hypothetical_lipase_related_to_Phosphatidate_metabolism	0.149	1.604	3.034	0.529	0.597	0.949
Lysine_Biosynthesis	0.078	1.03	3.049	0.338	0.736	0.949
Protein_secretion_system_Type_I	1.926	-1.566	2.936	-0.533	0.594	0.949
Social_motility_and_nonflagellar_swimming_in_bacteria	0.079	1.063	3.048	0.349	0.727	0.949
Ribosome-related_cluster	1591.143	0.064	0.228	0.281	0.779	0.959
Sugar_Phosphotransferase_Systems_PTS	4376.079	-0.048	0.194	-0.248	0.804	0.982
Arginine_urea_cycle_polyamines	10070.469	-0.013	0.091	-0.148	0.882	0.987
Sugar_alcohols	7862.279	-0.01	0.089	-0.116	0.908	0.987
Glutamine_glutamate_aspartate_asparagine_ammonia_assimilation	3849.589	-0.018	0.132	-0.138	0.89	0.987
Heat_shock	3005.348	0.019	0.121	0.154	0.877	0.987
Programmed_Cell_Death_and_Toxin-antitoxin_Systems	1844.155	0.015	0.131	0.117	0.907	0.987
Metabolism_of_central_aromatic_intermediates	686.168	-0.057	0.429	-0.134	0.894	0.987
Organic_sulfur_assimilation	694.492	0.026	0.197	0.13	0.896	0.987
Peripheral_pathways_for_catabolism_of_aromatic_compounds	584.891	0.039	0.262	0.149	0.881	0.987
Tricarboxylate_transporter	0.155	0.441	3.045	0.145	0.885	0.987
Dessication_stress	0.133	-0.529	3.06	-0.173	0.863	0.987
Protein_secretion_system_Type_VIII_(Extracellular_nucleation/precipitation_pathway_ENP)	0.171	0.568	3.042	0.187	0.852	0.987
Gene_Transfer_Agent_(GTA)	0.026	0.521	3.059	0.17	0.865	0.987
Electron_transport_and_photophosphorylation	0.086	0.44	3.055	0.144	0.885	0.987
Putative_Isoquinoline_1-oxidoreductase_subunit	0.137	0.636	3.05	0.208	0.835	0.987
Catabolism_of_an_unknown_compound	0.026	0.521	3.059	0.17	0.865	0.987
Putative_asociate_of_RNA_polymerase_sigma-54_factor_rpoN	342.438	0.029	0.309	0.095	0.924	0.994
Probably_organic_hydroperoxide_resistance_related_hypothetical_protein	48.344	0.043	0.545	0.078	0.938	0.994
Glycoside_hydrolases	14.115	-0.107	1.509	-0.071	0.944	0.994
TldD_cluster	0.163	0.232	3.05	0.076	0.939	0.994
Proteolytic_pathway	0.1	-0.177	3.06	-0.058	0.954	0.994
Lipid-derived_mediators	0.1	-0.177	3.06	-0.058	0.954	0.994
Pyrimidines	8871.489	-0.001	0.091	-0.016	0.987	1
Clustering-based_subsystems	3751.212	0	0.074	-0.007	0.995	1
Probably_GTP_or_GMP_signaling_related	1476.919	-0.003	0.086	-0.031	0.975	1
Uni-_Sym-_and_Antiporters	1207.161	-0.001	0.319	-0.003	0.997	1
Coenzyme_M	0	0	0	0	1	1
Signal_transduction_in_Eukaryotes	0	0	0	0	1	1
Spore_DNA_protection	0	NA	NA	NA	NA	NA
Plant_Octadecanoids	0	NA	NA	NA	NA	NA
Chemotaxis_response_regulators	0	NA	NA	NA	NA	NA
alpha-proteobacterial_cluster_of_hypotheticals	0	NA	NA	NA	NA	NA
Flagella_protein?	0	NA	NA	NA	NA	NA
Pyruvate_kinase_associated_cluster	0	NA	NA	NA	NA	NA
						
Leoben_Klagenfurt						
order	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
NULL	206469.634	0.252	0.044	5.716	0	0
Di-_and_oligosaccharides	60748.966	0.819	0.183	4.475	0	0
Central_carbohydrate_metabolism	32227.236	0.897	0.075	11.961	0	0
Monosaccharides	29497.864	1.668	0.263	6.341	0	0
Capsular_and_extracellular_polysacchrides	18905.941	1.193	0.147	8.095	0	0
ABC_transporters	15045.993	-0.728	0.164	-4.428	0	0
Transcription	11567.897	0.617	0.154	4.015	0	0
ATP_synthases	10232.883	1.121	0.2	5.595	0	0
Fatty_acids	8711.598	-0.717	0.17	-4.206	0	0
Sugar_alcohols	7815.926	0.7	0.174	4.025	0	0
Oxidative_stress	6638.555	1.311	0.225	5.82	0	0
One-carbon_Metabolism	6302.652	1.538	0.132	11.616	0	0
Osmotic_stress	5483.447	2.679	0.614	4.362	0	0
Protein_processing_and_modification	4825.553	-1.173	0.254	-4.613	0	0
Two_related_proteases	4064.508	2.659	0.318	8.353	0	0
Sugar_Phosphotransferase_Systems_PTS	4226.161	0.723	0.168	4.304	0	0
DNA_uptake_competence	3795.114	3.082	0.645	4.78	0	0
Phospholipids	3838.873	1.172	0.125	9.377	0	0
Electron_donating_reactions	2611.71	0.481	0.095	5.046	0	0
Fatty_acid_metabolic_cluster	3086.864	0.833	0.168	4.962	0	0
Heat_shock	2824.55	0.99	0.246	4.03	0	0
Tetrapyrroles	2716.039	-1.202	0.231	-5.191	0	0
Branched-chain_amino_acids	3009.778	-2.985	0.624	-4.781	0	0
Polysaccharides	3162.817	-3.142	0.249	-12.6	0	0
Riboflavin_FMN_FAD	2432.493	-1.516	0.23	-6.589	0	0
Histidine_Metabolism	2457.083	-4.1	0.766	-5.351	0	0
Detoxification	2112.178	-1.433	0.17	-8.442	0	0
Gram-Negative_cell_wall_components	814.312	-4.37	0.602	-7.257	0	0
tRNA_sulfuration	1394.103	-1.047	0.271	-3.866	0	0
Recombination_related_cluster	1042.004	3.401	0.797	4.267	0	0
Metabolism_of_central_aromatic_intermediates	1336.416	-1.335	0.293	-4.556	0	0
Chromosome_Replication	998.164	-2.387	0.353	-6.754	0	0
Transposable_elements	804.316	-1.394	0.315	-4.428	0	0
Plant_Hormones	751.739	-4.94	0.792	-6.235	0	0
Hypothetical_Related_to_Dihydroorate_Dehydrogenase	728.485	-4.987	0.901	-5.534	0	0
proteosome_related	583.363	-4.905	1.002	-4.896	0	0
Probably_organic_hydroperoxide_resistance_related_hypothetical_protein	508.845	-4.083	0.495	-8.243	0	0
recX_and_regulatory_cluster	345.223	2.058	0.256	8.052	0	0
Choline_bitartrate_degradation_putative	361.651	-3.447	0.66	-5.221	0	0
Probably_Ybbk-related_hypothetical_membrane_proteins	386.514	-5.869	0.9	-6.521	0	0
Phosphate_metabolism	289.551	-5.236	0.855	-6.126	0	0
Related_to_Menaquinone-cytochrome_C_reductase_	200.076	2.62	0.675	3.878	0	0
