Header	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Actinomycetaceae;g__Mobiluncus;s__Mobiluncus mulieris	178	107	110	131	8	140	107	0	0	0	0	0	0	0	0	4	85	0	0	0	4	47	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Actinosynnemataceae;g__Actinosynnema;s__Actinosynnema mirum	133	94	84	108	5	20	60	9	2	1	16	27	8	36	31	57	208	48	7	6	76	339	1
k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Beutenbergiaceae;g__Beutenbergia;s__Beutenbergia cavernae	322	25	35	104	5	63	77	3	37	5	1	6	2	1	2	0	658	1	4	2	1	168	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Brevibacteriaceae;g__Brevibacterium;s__Brevibacterium linens	76	63	46	36	1	32	51	2	1	0	3	1	0	0	2	22	1254	2	19	3	67	787	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Brevibacteriaceae;g__Brevibacterium;s__Brevibacterium mcbrellneri	0	0	0	0	0	1	14	0	0	0	0	0	0	0	1	21	18	0	7	1	8	556	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Catenulisporaceae;g__Catenulispora;s__Catenulispora acidiphila	259	164	257	149	6	135	129	18	2	39	23	4	18	64	105	24	200	23	1	49	99	124	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Cellulomonadaceae;g__Cellulomonas;s__Cellulomonas flavigena	436	324	417	548	10	525	161	1	0	0	0	65	20	0	0	1	693	1	1	0	1	94	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium accolens	41	7	56	86	30	76	79	1	2	0	1	0	0	4	22	229	1	0	226	17	86	8933	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium ammoniagenes	0	0	1	3	0	0	2	0	0	0	0	0	0	1	0	13	0	1	11	2	5	449	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium amycolatum	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	0	0	3	1	2	233	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium aurimucosum	338	138	219	213	5	214	642	7	21	25	135	45	22	139	319	2811	58	34	2369	266	1300	119170	18
k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium diphtheriae	818	439	569	587	18	782	393	1	80	13	14	0	4	11	59	637	446	12	538	75	320	28633	3
k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium efficiens	1622	1193	1389	1162	56	1417	1041	0	17	1	14	0	2	5	76	717	912	10	580	77	311	32259	5
k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium genitalium	1	0	1	0	0	0	1	0	0	0	0	0	0	0	3	24	0	0	12	4	14	655	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium glucuronolyticum	2	2	0	1	0	1	4	0	0	0	0	0	0	0	5	9	2	0	19	3	6	1029	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium glutamicum	1577	991	1006	1384	50	1209	1009	243	68	202	207	143	102	260	531	1047	1332	142	1123	235	867	40454	8
k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium jeikeium	407	180	228	264	6	322	223	105	38	81	67	81	30	71	196	591	734	87	404	184	341	18034	5
k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium kroppenstedtii	381	258	357	446	18	346	251	0	3	0	1	0	0	2	4	39	92	2	45	7	25	1853	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium lipophiloflavum	3	0	0	0	0	0	1	0	1	0	0	0	0	0	1	11	0	0	12	0	3	418	1
k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium matruchotii	2	0	0	0	0	0	10	0	0	0	0	0	6	0	0	1	26	1	6	0	0	128	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium pseudogenitalium	114	6	0	1	6	44	427	3	26	0	39	1	3	24	249	2408	4	29	2107	261	1234	95704	14
k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium pseudotuberculosis	8	0	0	0	0	2	25	1	2	0	6	0	0	13	11	102	57	24	186	36	66	3970	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium resistens	3	0	0	0	32	0	8	100	7	136	96	86	34	174	162	129	169	110	203	123	230	1546	3
k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium sp. L2-79-05	0	0	0	0	22	0	2	0	0	0	0	0	1	0	2	4	0	0	2	1	3	118	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium striatum	6	0	0	0	0	4	25	0	2	0	2	0	5	2	14	85	2	1	87	7	62	3843	3
k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium tuberculostearicum	74	2	0	0	0	39	349	2	14	0	41	0	1	13	209	2130	3	31	1821	210	977	82166	11
k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium urealyticum	299	153	171	214	26	273	171	1	2	0	0	0	0	2	22	209	209	1	195	14	111	9203	3
k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Dermabacteraceae;g__Brachybacterium;s__Brachybacterium faecium	6	0	3	5	1	4	1	0	1	1	0	3	12	3	1	21	1161	1	11	4	16	603	2
k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Dermacoccaceae;g__Kytococcus;s__Kytococcus sedentarius	25	4	1	2	0	1	3	2	0	0	0	1	0	0	0	12	503	3	9	3	8	454	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Frankiaceae;g__Frankia;s__Frankia alni	146	132	111	19	2	155	149	0	180	0	1	1	7	0	0	4	197	0	0	0	0	45	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Frankiaceae;g__Frankia;s__Frankia sp. CcI3	1139	587	795	1093	23	984	525	0	60	6	1	0	0	0	0	2	229	0	4	0	0	73	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Frankiaceae;g__Frankia;s__Frankia sp. EAN1pec	1	7	2	4	1	2	0	0	0	0	2	0	1	0	0	1	73	0	1	0	1	115	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Frankiaceae;g__Frankia;s__Frankia sp. EuI1c	220	110	51	273	7	239	108	0	3	0	0	0	0	0	0	2	3	0	0	1	0	31	1
k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Frankiaceae;g__Frankia;s__Frankia sp. EUN1f	2	0	0	3	0	0	1	0	0	2	0	0	0	0	2	2	0	0	1	0	0	65	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Geodermatophilaceae;g__Geodermatophilus;s__Geodermatophilus obscurus	0	21	1	3	0	0	11	0	0	0	2	0	4	0	1	4	181	1	6	1	2	214	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Glycomycetaceae;g__Stackebrandtia;s__Stackebrandtia nassauensis	0	0	0	5	0	0	0	5	3	16	57	2	2	4	1	3	152	2	147	1	5	101	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Gordoniaceae;g__Gordonia;s__Gordonia bronchialis	349	178	257	199	5	160	112	1	58	0	1	0	9	51	0	5	428	2	13	0	8	452	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Gordoniaceae;g__Gordonia;s__Gordonia westfalica	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Intrasporangiaceae;g__Intrasporangium;s__Intrasporangium calvum	31	62	66	92	3	78	24	1	0	0	0	0	0	0	0	0	4	0	4	4	1	72	1
k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Intrasporangiaceae;g__Janibacter;s__Janibacter sp. HTCC2649	5	0	0	3	0	4	3	3	0	0	1	0	0	1	1	3	525	0	4	0	6	166	1
k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Jonesiaceae;g__Jonesia;s__Jonesia denitrificans	1020	1027	724	1013	55	1367	543	0	0	1	1	0	2	5	0	10	546	0	7	0	4	114	1
k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Kineosporiaceae;g__Kineococcus;s__Kineococcus radiotolerans	1028	480	728	1161	36	815	443	5	105	1	1	4	16	1	41	11	1983	4	14	1	7	480	1
k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Microbacteriaceae;g__Clavibacter;s__Clavibacter michiganensis	1713	1033	1249	1434	53	1257	969	490	98	396	368	227	107	445	610	367	2828	372	649	472	374	797	17
k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Microbacteriaceae;g__Leifsonia;s__Leifsonia xyli	2211	1272	1466	2021	83	1794	986	1	92	0	1	0	1	1	1	1	1921	3	4	2	3	120	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Micrococcaceae;g__Arthrobacter;s__Arthrobacter arilaitensis	38	38	48	45	2	18	5	23	1	28	11	3	18	47	46	62	253	46	86	45	60	324	5
k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Micrococcaceae;g__Arthrobacter;s__Arthrobacter aurescens	2857	1850	1929	2125	78	2062	1298	97	196	68	64	88	56	79	126	87	13291	70	161	214	121	594	1
k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Micrococcaceae;g__Arthrobacter;s__Arthrobacter chlorophenolicus	48	25	48	142	5	28	24	12	2	9	22	0	98	1	0	6	759	50	105	0	87	69	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Micrococcaceae;g__Arthrobacter;s__Arthrobacter nitroguajacolicus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	35	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Micrococcaceae;g__Arthrobacter;s__Arthrobacter sp. FB24	1563	562	1155	883	56	1178	448	28	1	7	5	12	33	12	8	25	13042	40	26	32	18	671	4
k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Micrococcaceae;g__Kocuria;s__Kocuria rhizophila	9	12	4	16	1	8	8	3	1	0	1	1	4	2	2	18	15902	26	18	3	10	877	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Micrococcaceae;g__Micrococcus;s__Micrococcus luteus	42	44	54	64	0	43	48	4	32	0	2	5	3	2	0	4	639	2	11	6	11	301	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Micrococcaceae;g__Renibacterium;s__Renibacterium salmoninarum	2	1	0	4	0	1	3	0	6	0	2	6	4	22	0	25	5548	9	26	8	38	172	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Micrococcaceae;g__Rothia;s__Rothia dentocariosa	1	1	0	4	0	0	2	0	0	0	1	0	0	0	1	7	6949	16	2	0	16	128	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Micrococcaceae;g__Rothia;s__Rothia mucilaginosa	9	3	3	53	0	1	0	73	110	110	43	31	18	129	94	94	194421	565	183	119	182	320	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Micromonosporaceae;g__Micromonospora;s__Micromonospora aurantiaca	0	0	0	0	0	1	0	0	2	0	0	0	0	0	1	1	0	0	3	0	0	53	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Micromonosporaceae;g__Micromonospora;s__Micromonospora sp. ATCC 39149	1	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	1	0	0	0	1	11	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Micromonosporaceae;g__Micromonospora;s__Micromonospora sp. L5	53	0	0	0	0	0	16	1	0	0	0	0	0	0	0	1	0	0	0	0	0	17	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Micromonosporaceae;g__Salinispora;s__Salinispora arenicola	3	1	1	2	0	0	1	0	1	24	0	0	0	1	0	0	148	1	3	0	0	148	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Micromonosporaceae;g__Salinispora;s__Salinispora tropica	1029	187	700	274	45	863	255	0	80	0	0	0	0	0	0	7	398	1	12	2	62	447	0
