Leoben_Klagenfurt						
species	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Oceanobacillus iheyensis	814.647	4.129	0.441	9.36	0	0
Bacillus pumilus	838.163	2.61	0.437	5.978	0	0
Geobacillus sp. G11MC16	2033.907	-3.728	0.664	-5.618	0	0
Bacillus megaterium	866.889	4.944	0.445	11.1	0	0
Enterococcus casseliflavus	1034.747	4.672	1.16	4.026	0	0
Bifidobacterium dentium	2183.079	-6.024	0.505	-11.927	0	0
Streptococcus thermophilus	777.968	2.046	0.482	4.249	0	0
Geobacillus sp. C56-T3	1975.406	-4.193	0.703	-5.964	0	0
Macrococcus caseolyticus	735.67	5.131	0.871	5.892	0	0
Paenibacillus sp. Y412MC10	596.525	5.752	0.539	10.665	0	0
Aerococcus viridans	614.849	8.611	0.832	10.348	0	0
Lysinibacillus sphaericus	612.317	3.963	0.967	4.1	0	0
Helicobacter pylori	684.751	2.792	0.364	7.675	0	0
Cronobacter sakazakii	528.844	2.239	0.541	4.136	0	0
Enterobacter cloacae	157.376	3.205	0.69	4.642	0	0
Leuconostoc kimchii	548.531	5.499	1.119	4.916	0	0
Leuconostoc citreum	591.282	2.021	0.449	4.501	0	0
Lactobacillus delbrueckii	579.096	2.451	0.393	6.229	0	0
Enterobacter sp. 638	252.588	2.435	0.613	3.974	0	0
Clostridium proteoclasticum	481.109	3.567	0.534	6.684	0	0
Desulfitobacterium hafniense	628.05	-1.867	0.434	-4.299	0	0
Oenococcus oeni	413.803	4.138	0.488	8.479	0	0
Exiguobacterium sibiricum	421.229	3.269	0.471	6.936	0	0
Bifidobacterium catenulatum	1273.528	-12.443	0.897	-13.879	0	0
Clostridium cellulovorans	423.689	5.086	0.859	5.922	0	0
Brevibacillus brevis	383.653	4.63	0.583	7.936	0	0
Propionibacterium acnes	1056.146	-2.963	0.717	-4.133	0	0
Exiguobacterium sp. AT1b	391.326	3.134	0.578	5.423	0	0
Leuconostoc gasicomitatum	357.829	7.591	0.914	8.308	0	0
Ethanoligenens harbinense	378.208	7.501	0.773	9.703	0	0
Bifidobacterium animalis	1068.734	-5.186	0.557	-9.316	0	0
Bacillus sp. NRRL B-14911	361.993	5.171	0.603	8.572	0	0
Paenibacillus sp. JDR-2	388.051	4.495	0.503	8.937	0	0
Bacillus atrophaeus	382.3	5.037	0.89	5.658	0	0
Sebaldella termitidis	383.754	2.564	0.573	4.478	0	0
Bacillus sp. B14905	338.834	3.217	0.778	4.133	0	0
Eubacterium eligens	265.236	8.996	0.814	11.049	0	0
Gardnerella vaginalis	857.511	-5.391	0.51	-10.574	0	0
Streptococcus dysgalactiae	286.296	8.429	0.641	13.153	0	0
Bifidobacterium pseudocatenulatum	835.161	-13.128	0.956	-13.733	0	0
Ruminococcus albus	254.173	4.772	1.15	4.149	0	0
Bacillus selenitireducens	260.814	6.672	0.66	10.115	0	0
Eubacterium limosum	254.123	9.838	0.912	10.79	0	0
Streptomyces avermitilis	726.884	-4.986	0.998	-4.995	0	0
Clostridium novyi	156.122	7.672	0.653	11.752	0	0
Escherichia fergusonii	12.026	3.808	0.992	3.841	0	0
Bacillus cellulosilyticus	243.05	5.245	0.447	11.744	0	0
Saccharopolyspora erythraea	569.703	-3.989	0.948	-4.208	0	0
Bifidobacterium angulatum	642.832	-12.754	0.933	-13.663	0	0
Fusobacterium nucleatum	442.137	-3.415	0.55	-6.205	0	0
Helicobacter acinonychis	230.005	1.912	0.486	3.934	0	0
Halanaerobium sp. 'sapolanicus'	195.671	9.46	0.927	10.206	0	0
Halothermothrix orenii	135.625	5.624	0.544	10.344	0	0
Acholeplasma laidlawii	186.369	6.271	0.718	8.734	0	0
Haemophilus influenzae	248.615	-2.418	0.623	-3.881	0	0
Streptococcus pseudoporcinus	160.903	8.798	0.934	9.42	0	0
Anaerococcus prevotii	110.056	6.013	0.63	9.539	0	0
Mycobacterium sp. KMS	435.318	-4.755	1.01	-4.708	0	0
Jonesia denitrificans	445.026	-4.712	1.116	-4.221	0	0
Lactobacillus curvatus	210.333	9.943	1.033	9.625	0	0
Thermoanaerobacter italicus	134.861	7.416	0.802	9.252	0	0
Renibacterium salmoninarum	10.386	3.568	0.841	4.241	0	0
Thermoanaerobacterium thermosaccharolyticum	130.168	8.475	0.842	10.063	0	0
Thermobaculum terrenum	147.795	3.391	0.452	7.506	0	0
Ilyobacter polytropus	145.089	3.522	0.9	3.911	0	0
Clostridium ljungdahlii	140.878	9.001	0.85	10.587	0	0
Frankia sp. CcI3	373.06	-5.684	1.239	-4.586	0	0
Bacillus pseudofirmus	138.864	2.617	0.454	5.759	0	0
Thermobifida fusca	281.062	-2.758	0.716	-3.853	0	0
Slackia heliotrinireducens	115.32	6.13	0.609	10.066	0	0
Acidaminococcus fermentans	61.561	2.001	0.442	4.531	0	0
Prevotella melaninogenica	116.879	9.531	0.967	9.855	0	0
Mesorhizobium loti	215.801	-3.811	0.865	-4.408	0	0
Campylobacter fetus	307.07	-8.298	1.115	-7.441	0	0
Campylobacter jejuni	229.069	-2.551	0.642	-3.972	0	0
Scardovia inopinata	314.53	-9.355	0.928	-10.079	0	0
Arcanobacterium haemolyticum	264.671	-3.136	0.528	-5.937	0	0
Clostridium sticklandii	108.913	5.517	0.925	5.966	0	0
Paenibacillus larvae	99.012	4.791	0.663	7.229	0	0
Oribacterium sinus	104.41	6.618	0.526	12.585	0	0
Corynebacterium kroppenstedtii	166.787	-3.121	0.801	-3.898	0	0
Streptomyces lividans	254.111	-4.469	0.988	-4.523	0	0
Clostridium hylemonae	278.17	-7.7	1.023	-7.53	0	0
Rhizobium leguminosarum	171.251	-4.068	0.977	-4.165	0	0
Desulfovibrio vulgaris	235.965	-6.599	0.875	-7.546	0	0
Burkholderia cenocepacia	317.478	-4.875	0.799	-6.099	0	0
Streptococcus equinus	71.698	8.036	0.973	8.259	0	0
Caldicellulosiruptor saccharolyticus	112.112	-2.859	0.582	-4.916	0	0
Rhodopseudomonas palustris	130.676	-3.597	0.725	-4.958	0	0
Thermosediminibacter oceani	63.621	4.175	0.81	5.157	0	0
Syntrophomonas wolfei	125.866	-4.36	0.711	-6.128	0	0
Roseiflexus sp. RS-1	72.398	3.352	0.498	6.727	0	0
Photorhabdus luminescens	231.542	-6.322	0.93	-6.801	0	0
Clostridium sp. HGF2	202.415	-10.76	0.964	-11.167	0	0
Pectobacterium wasabiae	65.419	3.681	0.89	4.137	0	0
Gloeobacter violaceus	163.242	-3.177	0.362	-8.788	0	0
Dorea formicigenerans	53.97	8.418	1.049	8.025	0	0
Syntrophobacter fumaroxidans	129.531	-2.38	0.491	-4.851	0	0
Geobacter uraniireducens	119.689	-4.753	1.02	-4.661	0	0
Roseiflexus castenholzii	52.463	3.636	0.453	8.022	0	0
Pseudomonas putida	134.287	-3.007	0.697	-4.317	0	0
Bifidobacterium gallicum	180.793	-11.289	0.971	-11.627	0	0
Thermotoga petrophila	116.5	-1.413	0.322	-4.384	0	0
Aliivibrio salmonicida	55.069	7.088	0.878	8.073	0	0
Thermoanaerobacter mathranii	56.031	5.686	1.062	5.355	0	0
Vibrio parahaemolyticus	144.385	-9.012	0.712	-12.663	0	0
Albidiferax ferrireducens	178.059	-7.241	0.604	-11.999	0	0
Photobacterium profundum	98.661	-2.055	0.488	-4.21	0	0
Lactobacillus ruminis	54.229	4.419	1.131	3.909	0	0
Chromobacterium violaceum	206.849	-4.842	0.712	-6.8	0	0
Bradyrhizobium japonicum	160.433	-6.299	0.53	-11.874	0	0
Marvinbryantia formatexigens	167.232	-10.82	0.948	-11.415	0	0
Kribbella flavida	55.575	3.21	0.71	4.522	0	0
Bordetella bronchiseptica	219.828	-7.112	0.856	-8.31	0	0
Acetohalobium arabaticum	55.381	8.452	0.996	8.483	0	0
Parvimonas micra	157.434	-10.415	0.951	-10.955	0	0
Aliivibrio fischeri	127.54	-4.87	0.939	-5.189	0	0
Alicyclobacillus acidocaldarius	44.955	4.105	0.588	6.98	0	0
Geobacillus sp. Y412MC61	141.72	-4.212	0.904	-4.659	0	0
Yersinia enterocolitica	128.313	-5.72	1.203	-4.756	0	0
Thermoanaerobacter pseudethanolicus	47.386	7.811	1.03	7.587	0	0
Chelativorans sp. BNC1	113.79	-6.407	0.981	-6.528	0	0
Rhodopirellula baltica	91.224	-2.511	0.578	-4.341	0	0
Thermosipho africanus	42.291	7.262	0.862	8.424	0	0
Brachyspira hyodysenteriae	121.339	-6.959	0.74	-9.408	0	0
Bradyrhizobium sp. ORS278	136.125	-7.007	0.723	-9.694	0	0
Blastopirellula marina	137.2	-7.533	0.759	-9.927	0	0
Mycoplasma mobile	47.36	8.654	0.916	9.45	0	0
Vibrio cholerae	39.965	3.215	0.755	4.261	0	0
Paracoccus denitrificans	69.412	-6.026	0.841	-7.167	0	0
Thermanaerovibrio acidaminovorans	33.536	5.877	0.705	8.336	0	0
Mycoplasma penetrans	45.87	8.599	1.123	7.656	0	0
Marinobacter hydrocarbonoclasticus	120.123	-5.027	0.717	-7.012	0	0
Parascardovia denticolens	126.704	-9.759	0.902	-10.816	0	0
Saccharophagus degradans	87.722	-2.401	0.496	-4.839	0	0
Caldicellulosiruptor kronotskyensis	42.252	4.623	1.054	4.386	0	0
Deinococcus radiodurans	70.868	-4.408	0.954	-4.621	0	0
Verminephrobacter eiseniae	97.495	-2.73	0.474	-5.759	0	0
Xanthomonas oryzae	107.944	-4.454	0.535	-8.331	0	0
Streptococcus oralis	40.172	7.233	0.974	7.429	0	0
Campylobacter curvus	27.795	7.479	0.999	7.49	0	0
Chlorobium phaeobacteroides	71.038	2.767	0.651	4.252	0	0
Bacillus tusciae	36.257	4.66	0.653	7.138	0	0
Psychromonas sp. CNPT3	118.784	-10.003	1.018	-9.823	0	0
Aggregatibacter aphrophilus	22.615	7.165	0.969	7.398	0	0
Finegoldia magna	32.242	5.125	0.757	6.769	0	0
Weissella paramesenteroides	36.177	6.587	0.932	7.067	0	0
Ruminococcus gnavus	98.221	-3.085	0.548	-5.629	0	0
Bacteroides fragilis	88.875	-5.467	0.845	-6.473	0	0
Dictyoglomus thermophilum	34.029	6.905	0.917	7.529	0	0
Pelobacter carbinolicus	67.268	-3.73	0.626	-5.955	0	0
Thermotoga lettingae	34.415	5.813	0.815	7.131	0	0
Hahella chejuensis	93.592	-4.927	0.826	-5.961	0	0
Desulfovibrio salexigens	102.234	-10.101	0.884	-11.425	0	0
Rhodobacter sphaeroides	154.928	-6.688	1.26	-5.308	0	0
Streptococcus sp. oral taxon 071	35.842	8.242	1.233	6.687	0	0
Sphingomonas wittichii	61.577	-6.277	0.594	-10.566	0	0
Nitrosospira multiformis	75.101	-6.867	0.8	-8.586	0	0
Microcystis aeruginosa	36.038	4.158	0.86	4.837	0	0
Candidatus Solibacter usitatus	94.75	-5.544	1.059	-5.235	0	0
Polynucleobacter necessarius	77.75	-2.855	0.652	-4.378	0	0
Ruminococcus obeum	100.238	-6.348	1.109	-5.727	0	0
Petrotoga mobilis	34.588	6.788	1.148	5.911	0	0
Erwinia billingiae	19.487	3.803	0.939	4.05	0	0
Chloroflexus aurantiacus	32.066	8.093	1.032	7.843	0	0
Methylococcus capsulatus	95.24	-6.783	0.738	-9.193	0	0
Xylella fastidiosa	85.406	-4.335	0.633	-6.848	0	0
Legionella pneumophila	87.329	-7.209	0.904	-7.971	0	0
Oceanicola batsensis	31.492	3.396	0.792	4.29	0	0
Streptomyces sviceus	85.247	-9.849	0.942	-10.451	0	0
Rhodothermus marinus	23.596	5.233	0.742	7.048	0	0
Coraliomargarita akajimensis	30.653	6.75	0.943	7.158	0	0
Shewanella sp. ANA-3	82.827	-6.886	0.864	-7.972	0	0
Anaeromyxobacter sp. Fw109-5	72.302	-5.697	0.976	-5.838	0	0
Serratia odorifera	49.472	-3.483	0.806	-4.32	0	0
Nitrobacter hamburgensis	62.451	-2.5	0.6	-4.167	0	0
Thiobacillus denitrificans	62.872	-6.202	0.887	-6.99	0	0
Calditerrivibrio nitroreducens	26.073	7.81	0.918	8.504	0	0
Coprothermobacter proteolyticus	27.36	5.509	1.008	5.468	0	0
Anaeromyxobacter dehalogenans	51.353	-5.183	1.079	-4.802	0	0
Propionibacterium freudenreichii	71.924	-5.438	0.834	-6.521	0	0
Butyrivibrio crossotus	30.792	7.614	1.042	7.31	0	0
Caldicellulosiruptor bescii	13.263	3.82	0.703	5.431	0	0
Frankia sp. EuI1c	70.14	-5.918	0.924	-6.407	0	0
Synechococcus sp. RCC307	73.394	-9.271	0.935	-9.91	0	0
Synechococcus sp. JA-3-3Ab	68.208	-5.577	0.842	-6.62	0	0
Methylobacterium extorquens	74.59	-4.558	0.621	-7.345	0	0
Xanthomonas axonopodis	55.422	-3.296	0.495	-6.656	0	0
Desulfotalea psychrophila	29.799	-4.667	0.837	-5.577	0	0
Burkholderia phymatum	62.532	-5.207	0.763	-6.821	0	0
Anaerostipes caccae	72.563	-6.44	1.217	-5.29	0	0
Cellvibrio japonicus	19.658	5.041	0.867	5.816	0	0
Vibrio sp. RC586	20.288	7.421	1.488	4.988	0	0
Bacteroides sp. 20_3	33.504	6.187	0.767	8.066	0	0
Burkholderia vietnamiensis	69.143	-4.076	1.029	-3.961	0	0
Paenibacillus curdlanolyticus	71.411	-9.194	0.977	-9.406	0	0
Geobacter sp. FRC-32	23.131	5.15	0.81	6.36	0	0
Campylobacter hominis	51.195	-5.065	1.008	-5.026	0	0
Candidatus Koribacter versatilis	55.191	-4.264	0.791	-5.389	0	0
Bacteroides pectinophilus	66.679	-9.484	0.936	-10.128	0	0
Achromobacter xylosoxidans	52.182	-5.323	0.714	-7.454	0	0
Mobiluncus mulieris	60.277	-4.037	1.043	-3.873	0	0
Victivallis vadensis	69.502	-9.198	1.011	-9.1	0	0
Leptotrichia hofstadii	18.272	6.849	1.81	3.784	0	0
Halomonas elongata	25.035	2.866	0.696	4.117	0	0
Thermotoga neapolitana	11.823	5.848	1.212	4.825	0	0
Erysipelotrichaceae bacterium 3_1_53	60.832	-9.348	1.237	-7.56	0	0
Caldicellulosiruptor hydrothermalis	17.675	5.238	0.955	5.485	0	0
Tetragenococcus halophilus	19.584	7.367	1.332	5.529	0	0
Candidatus Desulforudis audaxviator	12.63	5.967	0.897	6.65	0	0
Cytophaga hutchinsonii	50.903	-4.9	0.895	-5.475	0	0
Synechococcus sp. JA-2-3B'a(2-13)	52.362	-5.845	0.927	-6.306	0	0
Syntrophothermus lipocalidus	9.292	5.445	1.419	3.837	0	0
Bacteroides ovatus	61.019	-8.718	1.056	-8.256	0	0
Streptococcus sp. M143	24.426	7.281	1.086	6.707	0	0
Helicobacter hepaticus	48.389	-6.082	1.136	-5.354	0	0
Lactobacillus hilgardii	15.821	7.077	1.205	5.873	0	0
Shewanella denitrificans	50.109	-5.381	1.218	-4.417	0	0
Chitinophaga pinensis	22.398	3.174	0.791	4.014	0	0
Maricaulis maris	49.457	-6.692	0.928	-7.213	0	0
Bacteroides sp. 2_1_16	12.745	4.549	1.118	4.067	0	0
Geobacter bemidjiensis	47.533	-8.238	1.294	-6.368	0	0
Roseovarius sp. 217	47.169	-8.356	0.932	-8.968	0	0
Actinomyces viscosus	46.63	-7.148	1.01	-7.078	0	0
Elusimicrobium minutum	18.68	7.31	1.008	7.251	0	0
Rhodospirillum rubrum	27.674	-5.69	1.434	-3.967	0	0
Aminobacterium colombiense	16.55	5.974	1.162	5.139	0	0
Acidovorax citrulli	36.095	-4.256	0.849	-5.013	0	0
Burkholderia ambifaria	60.096	-4.722	1.126	-4.194	0	0
Brucella ceti	37.129	-8.637	1.319	-6.548	0	0
Porphyromonas gingivalis	31.673	-6.68	1.067	-6.258	0	0
Faecalibacterium prausnitzii	17.938	-4.686	1.05	-4.462	0	0
Synechococcus sp. CC9605	43.187	-6.928	1.018	-6.804	0	0
Abiotrophia defectiva	12.105	5.829	1.537	3.793	0	0
Nautilia profundicola	15.474	6.592	1.15	5.734	0	0
Psychrobacter sp. PRwf-1	26.585	-2.69	0.682	-3.944	0	0
Caulobacter vibrioides	26.154	-4.44	0.722	-6.152	0	0
Prochlorococcus marinus	25.964	-3.969	0.988	-4.019	0	0
Acidithiobacillus ferrooxidans	10.045	3.795	0.854	4.441	0	0
Jannaschia sp. CCS1	26.215	-5.912	1.509	-3.918	0	0
Helicobacter felis	19.549	6.93	1.284	5.398	0	0
Bacteroides capillosus	38.548	-8.705	0.999	-8.718	0	0
Bordetella parapertussis	30.742	-6.171	0.846	-7.292	0	0
Gemella haemolysans	14.816	5.084	0.996	5.104	0	0
Borrelia burgdorferi	10.405	6.48	1.244	5.207	0	0
Roseobacter denitrificans	34.454	-6.329	0.907	-6.978	0	0
Comamonas testosteroni	24.011	-5.73	1.162	-4.93	0	0
Streptomyces viridochromogenes	33.897	-7.941	1.013	-7.836	0	0
Xanthomonas euvesicatoria	37.872	-2.705	0.708	-3.823	0	0
Roseobacter sp. MED193	40.523	-8.411	1.194	-7.042	0	0
Burkholderia xenovorans	31.583	-3.399	0.813	-4.181	0	0
Coprococcus comes	33.827	-7.873	0.976	-8.068	0	0
Haemophilus ducreyi	7.93	5.189	1.306	3.973	0	0
Prevotella ruminicola	9.463	5.505	1.097	5.018	0	0
Halorhodospira halophila	18.925	-4.134	0.646	-6.403	0	0
Sinorhizobium fredii	18.996	-3.691	0.891	-4.143	0	0
Thermobispora bispora	14.962	4.274	1.085	3.939	0	0
Ammonifex degensii	9.935	5.996	1.189	5.042	0	0
Mycoplasma arthritidis	13.478	6.84	1.365	5.01	0	0
Bordetella petrii	35.547	-6.767	0.95	-7.127	0	0
Peptostreptococcus stomatis	28.397	-6.893	1.063	-6.485	0	0
Spirochaeta thermophila	11.909	6.659	1.294	5.147	0	0
Burkholderia sp. CCGE1002	25.767	-6.417	1.071	-5.993	0	0
Chlorobaculum tepidum	11.521	-6.234	1.142	-5.46	0	0
Helicobacter mustelae	16.752	-4.149	1.008	-4.116	0	0
Synechococcus sp. CC9902	16.833	-5.949	1.042	-5.709	0	0
Methylobacterium sp. 4-46	19.773	-4.927	0.794	-6.209	0	0
Caldicellulosiruptor obsidiansis	7.249	5.542	1.171	4.734	0	0
Parabacteroides sp. D13	11.155	4.306	1.049	4.106	0	0
Brachyspira pilosicoli	6.067	5.265	1.144	4.602	0	0
Agrobacterium rhizogenes	21.383	-8.215	1.056	-7.778	0	0
Bordetella pertussis	15.123	-4.617	1.092	-4.228	0	0
Arthrospira maxima	5.543	5.584	1.321	4.228	0	0
Thauera sp. MZ1T	17.928	-6.363	0.806	-7.891	0	0
Prevotella tannerae	4.985	5.434	1.341	4.052	0	0
Nitratiruptor sp. SB155-2	13.655	-6.906	1.292	-5.346	0	0
Lactobacillus antri	5.12	5.432	0.997	5.45	0	0
Shewanella halifaxensis	4.994	4.626	1.041	4.443	0	0
Eubacterium dolichum	12.801	-7.098	0.914	-7.769	0	0
Borrelia bavariensis	12.82	-7.475	0.944	-7.921	0	0
Synechococcus sp. CC9311	11.661	-7.334	1.792	-4.092	0	0
Streptomyces filamentosus	10.659	-4.359	1.072	-4.064	0	0
Streptococcus infantis	5.006	4.278	0.962	4.446	0	0
Desulfomicrobium baculatum	7.953	-4.685	1.157	-4.05	0	0
Bacteroides intestinalis	8.005	-6.429	1.097	-5.859	0	0
Maritimibacter alkaliphilus	6.535	-4.922	1.084	-4.539	0	0
Clostridium hathewayi	3.429	-5.148	1.183	-4.352	0	0
Burkholderiales bacterium 1_1_47	5.381	-5.833	1.303	-4.477	0	0
Synechococcus sp. RS9917	4.392	-5.599	1.098	-5.099	0	0
Veillonella parvula	14.743	4.131	1.191	3.468	0.001	0.001
Rothia mucilaginosa	75.458	3.75	1.051	3.566	0	0.001
Bacillus licheniformis	1890.222	1.714	0.459	3.734	0	0.001
Geobacillus thermodenitrificans	1850.938	-2.361	0.671	-3.52	0	0.001
Lactobacillus crispatus	695.551	3.114	0.837	3.721	0	0.001
Lactobacillus amylovorus	508.525	2.661	0.762	3.493	0	0.001
Clostridium saccharolyticum	261.343	3.609	1.023	3.527	0	0.001
Pantoea sp. At-9b	105.9	3.176	0.855	3.713	0	0.001
Bacillus weihenstephanensis	126.635	1.772	0.48	3.694	0	0.001
Salinispora tropica	274.895	-3.509	1.006	-3.488	0	0.001
Mannheimia succiniciproducens	39.876	3.88	1.054	3.682	0	0.001
Acidovorax sp. JS42	97.085	-1.397	0.387	-3.606	0	0.001
Mycobacterium tuberculosis	105	-3.334	0.936	-3.562	0	0.001
Aeromonas hydrophila	51.417	-1.524	0.424	-3.592	0	0.001
Edwardsiella tarda	9.673	-5.142	1.445	-3.558	0	0.001
Neisseria meningitidis	9.191	3.335	0.958	3.482	0	0.001
Thermoanaerobacter sp. X513	23.528	2.587	0.713	3.63	0	0.001
Myxococcus xanthus	61.281	-1.916	0.523	-3.667	0	0.001
Magnetospirillum magnetotacticum	64.17	-3.696	1.053	-3.509	0	0.001
Trichodesmium erythraeum	8.191	-4.071	1.136	-3.585	0	0.001
Asticcacaulis excentricus	14.747	3.734	1.001	3.732	0	0.001
Vibrio vulnificus	8.503	3.4	0.928	3.663	0	0.001
Staphylococcus sp. 693-2	6.365	4.53	1.217	3.722	0	0.001
Mycobacterium abscessus	37.079	-3.325	0.915	-3.635	0	0.001
Acinetobacter sp. ADP1	34.585	-3.66	1.036	-3.534	0	0.001
Stackebrandtia nassauensis	13.784	5.279	1.526	3.46	0.001	0.001
Intrasporangium calvum	29.125	-3.478	0.938	-3.709	0	0.001
Atopobium rimae	5.863	5.222	1.453	3.593	0	0.001
Haemophilus parasuis	28.514	-6.272	1.696	-3.698	0	0.001
Shewanella oneidensis	20.223	-5.456	1.567	-3.48	0.001	0.001
Burkholderia mallei	20.037	-5.531	1.494	-3.701	0	0.001
Leptospira borgpetersenii	8.846	-6.548	1.804	-3.63	0	0.001
Lactobacillus amylolyticus	7.311	-6.29	1.778	-3.537	0	0.001
Lactobacillus casei	2394.557	1.535	0.464	3.306	0.001	0.002
Lactobacillus acidophilus	3384.947	-2.607	0.77	-3.384	0.001	0.002
Clostridium acetobutylicum	1531.738	-1.587	0.474	-3.35	0.001	0.002
Parabacteroides distasonis	352.424	2.115	0.635	3.328	0.001	0.002
Nocardia farcinica	667.82	-4.007	1.163	-3.444	0.001	0.002
Mycobacterium vanbaalenii	306.346	-3.946	1.179	-3.346	0.001	0.002
Nocardiopsis dassonvillei	120.158	1.22	0.367	3.321	0.001	0.002
Cronobacter turicensis	50.567	3.754	1.111	3.38	0.001	0.002
Spirochaeta smaragdinae	55.39	3.775	1.13	3.339	0.001	0.002
Proteus mirabilis	34.331	3.115	0.941	3.308	0.001	0.002
Erwinia tasmaniensis	13.4	3.005	0.884	3.4	0.001	0.002
Brachybacterium faecium	19.879	3.474	1.043	3.33	0.001	0.002
Thermaerobacter marianensis	43.497	3.175	0.92	3.452	0.001	0.002
Clostridium spiroforme	101.948	-4.812	1.397	-3.446	0.001	0.002
Thermosipho melanesiensis	19.665	5.081	1.531	3.32	0.001	0.002
Xanthomonas campestris	78.979	-2.326	0.678	-3.431	0.001	0.002
Cyanothece sp. ATCC 51142	33.683	-4.48	1.321	-3.392	0.001	0.002
Streptomyces sp. ACT-1	8.938	4.59	1.354	3.391	0.001	0.002
Caulobacter segnis	7.671	4.519	1.355	3.334	0.001	0.002
Robiginitalea biformata	4.657	2.371	0.697	3.402	0.001	0.002
Dickeya zeae	122.634	3.87	1.202	3.221	0.001	0.003
Streptomyces griseus	65.801	-3.612	1.098	-3.289	0.001	0.003
Cryptobacterium curtum	7.226	5.056	1.566	3.228	0.001	0.003
Brachyspira murdochii	24.092	-4.667	1.431	-3.261	0.001	0.003
Ruegeria sp. TM1040	24.148	-4.628	1.412	-3.279	0.001	0.003
Peptostreptococcus anaerobius	1.681	-3.798	1.174	-3.236	0.001	0.003
Salmonella enterica	490.478	1.5	0.47	3.193	0.001	0.004
Leifsonia xyli	759.471	-3.925	1.257	-3.123	0.002	0.004
Pectobacterium carotovorum	217.609	3.611	1.143	3.158	0.002	0.004
Catenulispora acidiphila	99.414	-2.386	0.757	-3.15	0.002	0.004
Streptomyces scabiei	105.405	-3.979	1.264	-3.149	0.002	0.004
Listeria grayi	7.682	3.315	1.047	3.165	0.002	0.004
Shewanella sp. W3-18-1	17.528	-5.283	1.686	-3.133	0.002	0.004
Rhodospirillum centenum	14.635	-4.993	1.599	-3.123	0.002	0.004
Desulfovibrio magneticus	1.902	3.804	1.212	3.139	0.002	0.004
Pelagibaca bermudensis	6.147	-6.039	1.905	-3.169	0.002	0.004
Nitrosococcus oceani	3.659	-3.333	1.06	-3.145	0.002	0.004
Clavibacter michiganensis	765.215	-1.591	0.514	-3.097	0.002	0.005
Mycobacterium smegmatis	304.502	-3.072	1.001	-3.071	0.002	0.005
