Features,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Lactobacillus acidophilus,1588,7878,1101,1641,84,1646,28901,1601,388,1534,1311,1241,456,1775,1882,1353,1650,1198,2618,1916,1724,1811,44
Listeria innocua,61,50,67,22,15,27,2414,3747,814,3507,3288,3374,1478,4676,6043,3432,4887,3419,6852,4956,4985,5571,127
Streptococcus pyogenes,51,63,113,62,30,92,1724,4383,814,4061,3288,3290,1628,4613,5279,2848,4798,2978,6129,5120,4869,5118,124
Bacillus amyloliquefaciens,226,145,145,76,23,184,585,4284,1079,4517,4091,3261,1602,4951,5659,3847,4518,3375,4202,4388,4081,5220,256
Geobacillus sp. Y412MC52,20612,4266,10719,3552,51,4806,2072,1076,449,855,729,769,229,1308,1604,521,784,614,1474,1385,1162,1190,26
Leuconostoc mesenteroides,158,45,104,143,11,164,203,3790,1025,3335,3157,3036,1415,4272,5497,3157,4021,3416,5746,4933,5420,4403,141
Clostridium botulinum,962,978,626,1192,74,1471,994,3112,4010,1884,2537,2301,883,3876,4791,2150,3537,2196,6058,4644,4633,4049,61
Streptococcus gordonii,119,59,56,15,11,67,335,3362,488,3358,3222,3213,1263,3885,4869,2962,4170,3119,6300,4906,4889,4284,60
Corynebacterium glutamicum,1577,991,1006,1384,50,1209,1009,243,68,202,207,143,102,260,531,1047,1332,142,1123,235,867,40454,8
Clostridium phytofermentans,1251,568,1016,828,51,1113,660,3559,1314,2199,2278,2514,1052,4093,4530,2254,3414,2284,5287,4536,4549,3854,42
Veillonella dispar,0,0,0,0,0,0,1,0,52189,16,0,62,0,119,0,38,0,42,0,0,0,38,0
Lactobacillus reuteri,688,469,558,577,42,789,397,3473,540,2310,2226,2180,1060,3665,5388,2362,4013,2157,4575,3661,4382,4050,77
Clostridium nexile,158,242,195,243,23,338,2488,2968,380,3280,3423,2067,1150,2985,3641,2720,3489,2707,4076,3262,3023,3228,15
Streptococcus uberis,2,3,5,4,12,1,317,2751,433,2329,2424,2362,962,3738,3839,2151,3220,2114,5008,3641,4379,3506,88
Corynebacterium efficiens,1622,1193,1389,1162,56,1417,1041,0,17,1,14,0,2,5,76,717,912,10,580,77,311,32259,5
Streptococcus sanguinis,22,68,152,29,10,92,470,2479,882,2263,2396,2231,1010,3259,4052,1840,3207,2045,4003,3413,3682,3240,76
Bacillus thuringiensis,1130,364,443,607,56,421,622,2501,1441,2168,2659,1919,1169,2763,3370,1899,2910,1915,3284,2660,3430,2584,111
Veillonella sp. oral taxon 158,0,0,0,1,0,0,0,0,40255,0,0,0,0,0,5,1,0,0,0,0,0,8,0
Listeria seeligeri,1,4,1,1,10,0,33,2485,261,2663,2519,1989,813,2958,3310,2289,3394,1976,4146,3678,3998,3530,81
Bacillus clausii,732,289,251,385,96,334,550,2636,1243,2291,1857,1769,808,2966,4025,1814,2363,1571,3956,3007,3762,2640,38
Shigella flexneri,6,8,2,17,37626,115,108,1,4,34,0,1,1107,1,23,0,0,1,2,0,4,5,1
Streptococcus mitis,6,5,1,6,3,0,400,1520,581,1277,1201,1327,498,1643,2429,2036,4006,2608,3895,4242,2126,9015,21
Lactobacillus fermentum,42,6,25,33,20,4,15,2228,475,2361,3199,2229,1314,3225,3415,2162,3096,2040,3094,2887,2979,3052,171
Geobacillus thermodenitrificans,8976,1944,4730,1701,25,2204,1110,823,825,766,795,818,309,1327,1702,835,1187,768,1451,1228,1099,1341,26
Ochrobactrum anthropi,36,6,16,35016,10,62,38,2,73,70,8,1,11,0,2,1,27,0,1,33,24,32,1
Bacillus halodurans,965,583,755,463,24,608,770,1875,2069,1449,1632,1371,695,2657,2715,1614,2267,1562,3440,2638,2447,2529,56
Clostridium perfringens,116,269,334,344,20,320,624,2216,2717,1917,1725,1430,628,2416,2893,1474,2409,1746,3383,2435,2816,2276,55
Clostridium acetobutylicum,3225,2104,2467,2758,118,2867,1725,991,2154,1207,1291,728,474,1636,1178,1028,1739,944,2095,914,1736,1136,40
Corynebacterium diphtheriae,818,439,569,587,18,782,393,1,80,13,14,0,4,11,59,637,446,12,538,75,320,28633,3
Ochrobactrum intermedium,2,0,1,33683,0,1,0,0,0,0,0,0,57,0,1,0,9,0,0,0,2,2,0
Streptococcus equi,3,3,2,4,8,0,476,2080,245,1954,1948,1964,649,2821,2994,1661,2162,1414,3531,2933,3292,2793,67
Oceanobacillus iheyensis,184,34,88,90,8,48,103,2067,906,1933,1649,1805,664,2353,3030,1622,2218,1653,3406,3358,2800,2861,71
Bacillus pumilus,169,185,116,205,18,290,522,2208,1121,1591,1633,1483,636,2407,3128,1778,2086,1578,3347,2697,2411,2988,73
Geobacillus sp. G11MC16,10910,2364,5915,2105,34,2810,1417,538,599,379,325,242,95,481,568,462,409,329,752,474,351,438,45
Bacillus megaterium,81,36,42,23,4,34,117,2184,231,2017,2051,1714,670,2720,2946,1750,2247,1650,3514,2430,2596,2500,264
Enterococcus casseliflavus,1,5,2,1,6,0,564,1778,96,1217,1286,1277,546,2084,2102,2059,2803,1994,3989,2933,3315,3076,292
Bifidobacterium dentium,6620,3709,5247,5972,209,5068,2916,63,3,39,41,67,47,133,121,85,132,37,218,108,146,165,3
Streptococcus thermophilus,495,188,177,172,13,216,736,1909,847,1724,1824,1504,806,2641,2588,1408,2140,1255,2676,2252,2389,2412,91
Geobacillus sp. C56-T3,11375,2331,5859,1994,29,2609,1191,144,9,183,321,255,104,415,501,208,229,200,670,390,470,363,17
Staphylococcus warneri,3,2,0,2,29,0,4391,1705,30,3354,55,655,1221,645,14331,125,28,2,20,45,171,1746,4
Lactobacillus crispatus,30,149,12,32,6,14,740,2261,345,1639,1572,1539,522,2479,2568,1221,1860,1422,3113,2790,2812,1093,33
Macrococcus caseolyticus,7,6,5,4,4,2,265,1369,461,2779,1231,1243,624,2003,2465,986,1585,1309,2432,1875,1944,4923,264
Arthrobacter aurescens,2857,1850,1929,2125,78,2062,1298,97,196,68,64,88,56,79,126,87,13291,70,161,214,121,594,1
Clostridium thermocellum,790,373,503,673,14,668,383,1156,3388,1308,1104,889,391,1746,1564,1227,1875,1173,1819,2004,1898,2254,8
Paenibacillus sp. Y412MC10,40,13,14,4,2,14,46,2200,214,1407,1548,1308,626,2306,3328,1176,1694,1237,2951,2335,2147,2257,38
Shigella dysenteriae,4,1,3,0,25202,1,11,4,0,0,1,1,664,0,26,0,0,0,0,0,3,6,0
Aerococcus viridans,0,2,5,6,3,0,0,1522,143,2001,1560,1030,745,1821,1669,1695,2492,1601,2430,1880,2222,2798,5
Lysinibacillus sphaericus,8,8,7,6,3,3,513,1764,381,1380,1396,1250,474,2026,2023,1182,1836,1275,2760,2291,2293,2249,21
Helicobacter pylori,219,70,207,221,13,158,202,1576,576,1497,1472,1092,780,2097,2058,1271,1987,1526,2304,1722,1911,2026,147
Staphylococcus caprae,3,0,0,0,21,0,3109,1245,22,2507,227,259,791,1445,10228,189,88,12,173,208,840,2917,6
Cronobacter sakazakii,222,80,125,127,1534,57,67,1307,178,988,1356,1086,3213,1533,2207,1338,1372,930,1816,1801,1633,519,63
Citrobacter koseri,156,57,43,96,9206,55,80,66,177,61,53,111,12434,67,94,34,59,83,167,158,137,133,4
Enterobacter cloacae,21,8,5,25,3363,4,11,357,124,380,372,482,13803,576,679,380,474,236,628,480,687,390,11
Leuconostoc kimchii,0,1,1,1,4,0,163,1953,207,1474,1473,1156,555,1688,2408,1291,1680,1198,2656,1825,1800,1701,57
Bacillus cytotoxicus,826,497,564,693,32,576,553,1302,970,1409,981,1131,507,1544,1857,978,1333,763,1803,1488,1749,1623,32
Lactobacillus gasseri,1384,658,932,898,49,1206,1235,831,263,1188,716,538,386,1048,1086,608,988,569,1467,848,1379,4869,19
Leuconostoc citreum,255,208,206,248,21,274,220,1618,112,1432,1240,1430,569,1667,2151,929,1455,1212,2238,1854,2102,1499,25
Corynebacterium jeikeium,407,180,228,264,6,322,223,105,38,81,67,81,30,71,196,591,734,87,404,184,341,18034,5
Lactobacillus delbrueckii,187,165,145,74,36,214,208,1429,133,1093,939,1159,662,1757,2017,881,1817,1169,2097,1822,2083,1770,44
Geobacillus sp. WCH70,2597,748,1382,556,8,978,469,1182,380,1138,931,773,280,1524,1447,750,1146,669,1517,1138,1079,1076,26
Enterobacter sp. 638,64,65,27,94,2638,28,8,853,61,500,624,381,9066,722,1027,376,580,495,1078,928,916,647,12
Lactobacillus amylovorus,36,149,39,20,3,21,666,1359,247,900,1458,1119,527,1758,2142,1019,1405,964,1810,1489,1840,1554,54
Clostridium proteoclasticum,127,57,100,69,5,63,20,1151,230,1826,1621,839,592,1733,1363,1475,1925,1012,1875,1318,1532,1473,19
Clostridium saccharolyticum,1,4,1,3,4,1,529,2195,207,1524,1575,1657,824,2849,3085,583,865,458,1164,971,850,922,14
Arthrobacter sp. FB24,1563,562,1155,883,56,1178,448,28,1,7,5,12,33,12,8,25,13042,40,26,32,18,671,4
Shigella sonnei,1,6,0,1,18272,1,7,2,12,7,0,4,580,0,10,0,1,0,0,0,4,3,0
Staphylococcus carnosus,0,1,1,0,4,0,451,1196,115,1298,465,839,357,1316,2748,698,1044,953,1582,1561,1697,2534,16
Desulfitobacterium hafniense,1518,897,741,1136,147,1302,766,394,6250,289,366,319,100,630,396,296,410,446,506,585,693,545,6
Oenococcus oeni,70,32,15,43,3,84,24,1095,231,1286,1336,1113,495,1617,1759,1008,1368,741,1907,1332,1357,1583,30
Staphylococcus capitis,6,0,0,1,26,0,3053,855,39,1678,33,237,827,303,10194,91,21,1,14,57,100,895,4
Lactobacillus johnsonii,302,316,151,221,10,303,910,1310,114,889,828,914,365,1558,1895,607,1247,492,1079,1427,1502,1578,45
Pectobacterium atrosepticum,76,33,109,105,463,32,32,1148,429,651,721,884,1678,1388,1439,890,1153,885,1555,1691,1378,1149,14
Exiguobacterium sibiricum,157,81,16,77,13,40,108,1125,558,1101,1123,1043,350,1572,1537,857,1260,946,1609,1062,1855,1222,31
Bifidobacterium catenulatum,3856,2576,2870,3173,119,3057,1816,0,0,1,0,0,0,0,0,3,2,0,0,0,0,0,0
Staphylococcus saprophyticus,98,135,156,139,10,145,1250,850,474,758,448,550,295,1089,2046,560,994,542,1031,1262,1322,2953,23
Clostridium cellulovorans,3,2,3,1,21,3,101,1134,283,771,863,763,326,1464,1614,865,1206,890,2166,1347,1727,1420,23
Kocuria rhizophila,9,12,4,16,1,8,8,3,1,0,1,1,4,2,2,18,15902,26,18,3,10,877,0
Brevibacillus brevis,35,28,12,17,0,22,76,1244,564,1217,922,692,327,1277,1627,977,1380,859,1619,1545,1273,1044,16
Propionibacterium acnes,2981,1615,2059,2693,65,2131,1397,85,158,3,21,45,17,9,42,51,700,132,185,201,1553,581,4
Clavibacter michiganensis,1713,1033,1249,1434,53,1257,969,490,98,396,368,227,107,445,610,367,2828,372,649,472,374,797,17
Citrobacter rodentium,0,0,0,6,5562,0,1,477,57,456,374,228,5095,388,684,319,483,441,482,406,396,407,48
Exiguobacterium sp. AT1b,99,70,8,123,6,109,104,920,262,1006,1111,683,343,1442,1398,1004,1306,935,1798,1066,1202,1036,9
Leuconostoc gasicomitatum,14,0,0,0,4,0,1,1130,44,852,1117,782,359,1386,1823,640,1251,844,1476,1038,1819,1213,26
Ethanoligenens harbinense,14,3,4,0,1,1,0,1009,86,1220,967,628,368,1328,1218,1165,1436,1078,1545,1168,1224,1268,10
Pseudomonas fluorescens,2085,528,946,1180,220,532,441,295,552,767,224,355,390,761,702,458,847,591,889,565,868,1496,19
Bifidobacterium animalis,3295,1723,2689,2500,125,2494,1365,35,8,65,75,80,50,126,126,42,296,81,98,55,150,139,0
Coprobacillus sp. D7,61,6,23,36,4649,172,46,2,2,41,146,3,2181,3,162,483,48,7,51,5,3,3,6760
Bacillus sp. NRRL B-14911,37,11,26,12,0,20,10,979,126,693,759,852,319,1195,1283,576,879,682,1799,1384,1593,1639,12
Paenibacillus sp. JDR-2,58,12,13,7,9,45,50,870,58,624,815,702,300,1161,1630,680,877,618,1955,1821,1204,1309,46
Bacillus atrophaeus,3,4,5,5,0,2,146,930,69,787,632,708,349,1121,1610,840,1014,924,1882,1489,1104,1127,36
Sebaldella termitidis,42,89,80,22,10,65,398,820,262,776,836,709,498,1118,1499,751,1025,652,1312,1291,1373,1068,45
Geobacillus sp. Y4.1MC1,486,196,233,117,3,271,203,733,73,735,721,764,255,1112,1341,670,1007,739,1297,1068,1201,1305,11
Parabacteroides distasonis,303,73,207,82,9,75,44,954,174,1149,902,486,295,912,929,842,1324,906,1172,960,854,1043,3
Bacillus sp. B14905,25,10,10,9,6,11,1026,696,162,942,727,436,271,1061,815,737,1159,603,968,1041,1296,1622,31
Eubacterium eligens,2,0,1,1,0,2,0,1321,238,845,721,873,242,1499,1258,493,806,605,1392,1013,1081,915,7
Klebsiella variicola,2,0,0,0,253,0,34,40,1,14,51,54,12196,71,33,32,78,41,52,31,92,2,2
Anoxybacillus flavithermus,913,327,448,232,4,445,183,598,219,675,510,494,250,737,1006,550,761,365,1304,838,999,1089,21
Gardnerella vaginalis,2860,1422,1906,2194,93,1858,1295,64,45,69,111,100,41,101,120,40,75,33,95,70,102,164,0
Brucella melitensis,8,18,28,12374,0,1,0,1,0,1,1,0,21,0,1,1,44,0,2,0,0,2,0
Cyanothece sp. CCY0110,54,5,12,0,3666,154,2,4,43,12,111,6,1604,5,38,399,5,5,32,0,0,1,6177
Lactobacillus helveticus,161,219,55,69,1,119,921,447,92,587,600,737,327,760,998,512,993,584,943,931,1029,1048,15
Leifsonia xyli,2211,1272,1466,2021,83,1794,986,1,92,0,1,0,1,1,1,1,1921,3,4,2,3,120,0
Streptococcus dysgalactiae,0,0,1,3,1,0,5,781,205,760,767,494,277,1095,1108,630,758,658,1155,1110,1112,990,33
Bifidobacterium pseudocatenulatum,2421,1521,1920,2217,77,2175,1203,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Streptococcus salivarius,1,0,4,2,6,0,705,690,121,587,712,623,284,896,1066,633,711,533,1233,1030,857,682,1
Corynebacterium urealyticum,299,153,171,214,26,273,171,1,2,0,0,0,0,2,22,209,209,1,195,14,111,9203,3
Ruminococcus albus,7,1,1,0,0,0,125,734,213,601,680,641,185,896,1110,474,627,681,934,1078,861,1374,8
Shigella boydii,0,0,1,2,10465,0,2,0,62,4,1,6,391,0,7,0,1,13,12,0,1,0,0
Bacillus selenitireducens,11,0,2,1,6,1,5,671,170,564,628,397,260,980,986,542,984,491,1089,951,1132,1009,15
Alkaliphilus metalliredigens,189,253,266,208,19,241,190,219,3980,287,262,576,77,603,748,280,244,285,405,472,614,381,7
Eubacterium limosum,0,1,0,1,1,0,0,765,48,605,614,613,151,812,937,482,788,675,1255,762,949,1256,8
Streptomyces avermitilis,1942,1276,1884,1837,72,1536,1082,1,179,0,0,0,14,2,1,1,631,1,68,2,5,154,3
Leptotrichia buccalis,0,0,2,0,3,0,171,601,157,581,697,527,195,824,1020,611,858,557,854,841,752,1220,23
Caldanaerobacter subterraneus,174,81,185,217,5,150,147,637,2749,559,509,235,179,507,597,360,395,344,708,834,346,559,8
Nocardia farcinica,1890,1240,1421,1696,49,1388,959,1,64,0,1,0,1,0,2,31,851,1,16,0,10,814,0
Treponema denticola,433,342,374,558,32,526,266,477,2424,343,323,276,193,432,295,331,474,369,612,429,428,368,3
Rhizobium etli,138,155,122,1203,39,140,188,579,51,540,607,364,156,582,893,433,571,440,1017,696,673,661,8
Veillonella atypica,0,0,0,1,0,0,2,0,10252,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Alkaliphilus oremlandii,266,135,187,204,18,171,393,677,803,373,448,396,167,541,735,369,626,484,929,657,933,673,11
Serratia proteamaculans,646,155,332,218,396,294,181,501,162,310,357,173,1663,418,649,331,454,466,714,586,355,610,5
Corynebacterium accolens,41,7,56,86,30,76,79,1,2,0,1,0,0,4,22,229,1,0,226,17,86,8933,0
Clostridium novyi,1,2,0,0,0,1,5,560,2716,396,521,339,154,757,534,303,501,368,656,614,551,626,15
Clostridium kluyveri,264,91,186,267,22,155,716,516,2108,447,274,328,116,524,364,266,449,305,662,499,478,549,11
Desulfotomaculum reducens,122,88,26,72,1,72,63,149,6038,180,173,181,73,345,362,185,354,100,174,351,163,185,14
Pectobacterium carotovorum,4,1,0,8,170,0,2,590,37,413,479,353,1276,592,678,416,557,513,951,756,718,940,9
Escherichia fergusonii,2,0,0,0,7628,0,5,35,3,1,22,18,1304,89,45,39,33,8,72,9,68,37,0
Bacillus cellulosilyticus,21,8,13,7,3,6,14,588,88,553,541,434,263,740,646,484,733,565,1213,707,980,670,22
Enterococcus italicus,1,0,1,1,4,0,336,534,56,576,553,471,222,646,843,516,708,443,1008,852,739,622,14
Saccharopolyspora erythraea,1613,1051,1281,1316,68,1208,707,1,156,8,0,4,32,2,4,14,595,3,17,5,16,822,1
Bifidobacterium angulatum,2036,1302,1231,1602,77,1639,970,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Fusobacterium nucleatum,1202,645,1323,892,25,683,680,32,1758,78,61,78,62,225,200,52,148,104,157,60,203,95,16
Helicobacter acinonychis,21,129,60,119,7,100,162,535,160,490,488,379,140,455,699,443,700,366,650,800,728,689,17
Rhodococcus jostii,1056,624,804,1152,99,1007,740,8,47,11,88,1,46,20,79,36,1125,4,35,8,22,1318,3
Halanaerobium sp. 'sapolanicus',0,1,0,1,1,0,0,546,64,737,533,283,225,698,549,652,879,573,971,606,427,413,7
Dickeya dadantii,62,52,84,137,249,79,71,438,50,329,359,361,1147,605,865,324,474,377,384,475,640,207,9
Streptococcus sp. 2_1_36FAA,269,141,167,200,11,278,105,499,51,356,544,377,148,405,505,374,344,424,570,431,830,375,6
Kineococcus radiotolerans,1028,480,728,1161,36,815,443,5,105,1,1,4,16,1,41,11,1983,4,14,1,7,480,1
Pantoea sp. At-9b,6,11,2,25,287,1,1,409,127,308,261,253,2158,547,662,238,401,273,477,392,267,222,2
Halothermothrix orenii,6,5,6,6,0,4,5,460,585,415,467,402,189,583,781,269,431,178,645,581,579,603,4
Acholeplasma laidlawii,0,0,2,22,1,0,9,517,109,587,561,288,171,473,537,479,582,456,613,488,605,592,45
Eubacterium rectale,163,92,161,115,2,109,374,329,219,355,333,417,146,618,818,278,369,287,661,458,452,348,24
Rothia dentocariosa,1,1,0,4,0,0,2,0,0,0,1,0,0,0,1,7,6949,16,2,0,16,128,0
Haemophilus influenzae,368,291,296,290,393,357,175,118,2937,78,35,45,101,121,160,88,203,51,220,147,274,27,1
Holdemania filiformis,272,230,216,243,7,341,126,375,24,283,343,303,175,471,515,229,475,259,362,386,563,547,11
Brucella suis,0,1,2,6683,0,1,0,0,1,0,0,0,7,1,0,1,1,0,0,1,3,12,0
Yersinia pestis,14,180,378,49,1974,145,164,195,658,233,128,152,1065,128,144,91,209,143,234,138,99,124,14
Streptococcus pseudoporcinus,0,0,1,0,1,0,2,433,40,535,396,340,222,400,501,630,623,397,697,532,440,456,2
Escherichia albertii,0,0,0,0,5945,0,2,0,0,0,0,0,679,0,2,0,2,0,0,0,0,1,0
Geobacillus thermoglucosidasius,556,218,254,107,3,227,100,361,30,197,233,297,108,590,328,277,393,240,730,474,436,396,14
Anaerococcus prevotii,6,3,1,3,3,2,0,604,102,590,599,368,288,628,785,232,320,190,560,359,513,379,5
Mycobacterium sp. KMS,1399,644,1007,1032,72,1020,564,2,31,0,1,0,3,0,1,9,262,0,14,2,9,381,0
Jonesia denitrificans,1020,1027,724,1013,55,1367,543,0,0,1,1,0,2,5,0,10,546,0,7,0,4,114,1
Bacteroides vulgatus,137,156,190,173,12,209,124,299,226,388,335,232,175,452,447,286,478,260,568,432,378,352,5
Lactobacillus curvatus,0,0,0,0,2,0,0,416,108,730,371,217,453,313,448,379,658,491,597,352,364,237,138
Citrobacter sp. 30_2,1,0,0,0,1863,2,1,0,0,0,0,0,4361,0,0,0,0,0,0,1,0,15,0
Carboxydothermus hydrogenoformans,294,100,198,288,6,189,146,106,3856,25,43,58,32,10,182,76,125,16,162,128,74,95,0
Thermoanaerobacter italicus,0,1,0,0,3,0,4,354,28,353,366,381,159,461,656,277,600,189,690,672,413,270,13
Renibacterium salmoninarum,2,1,0,4,0,1,3,0,6,0,2,6,4,22,0,25,5548,9,26,8,38,172,0
Thermoanaerobacterium thermosaccharolyticum,1,0,2,0,0,1,0,304,209,313,350,482,178,588,411,407,383,298,544,563,399,396,7
Thermobaculum terrenum,36,25,16,14,1,40,20,342,43,211,316,325,138,412,755,300,458,375,547,427,526,439,15
Ilyobacter polytropus,9,2,4,1,46,2,9,451,111,395,220,337,83,566,361,347,299,337,707,468,517,413,4
Clostridium ljungdahlii,0,0,0,1,1,0,1,443,133,307,212,286,107,451,493,264,373,364,498,675,530,526,13
Frankia sp. CcI3,1139,587,795,1093,23,984,525,0,60,6,1,0,0,0,0,2,229,0,4,0,0,73,0
Bacillus weihenstephanensis,45,20,33,47,6,66,166,228,156,275,327,359,144,511,625,193,392,258,428,407,345,411,5
Dickeya zeae,2,0,1,24,30,0,0,481,27,185,370,289,418,365,620,391,489,242,589,441,404,10,5
