genome	GUNC.n_contigs	GUNC.n_genes_called	GUNC.n_genes_mapped	GUNC.divergence_level	GUNC.contamination_portion	GUNC.n_effective_surplus_clades	GUNC.RRS	GUNC.CSS	checkM.lineage	checkM.genome_size	checkM.GC	checkM.coding_density	checkM.N50_contigs	checkM.completeness	checkM.contamination	checkM.strain_heterogeneity	pass.MIMAG_medium	pass.MIMAG_high	pass.GUNC	CheckM2_Completeness_General	CheckM2_Contamination	CheckM2_Completeness_Specific	CheckM2_Completeness_Model_Used	CheckM2_Translation_Table_Used	CheckM2_Additional_Notes
L05-7.contigs.003	55	1835	1766	genus	0.06	0.12	0.8	0.97	o__Actinomycetales (UID1530)	2298768	58.9	82.98	157968	99.33	4.22	0	True	True	False	100	1.87	100	Neural Network (Specific Model)	11	None
L07-7.contigs.001	99	1350	1313	genus	0.05	0.11	0.93	0.95	o__Lactobacillales (UID544)	1337407	38.9	85.46	36851	59.18	1.31	5.56	True	False	False	73.02	3.31	52.43	Neural Network (Specific Model)	11	None
L07-7.contigs.002	120	1579	1508	order	0.02	0.04	0.91	0.58	k__Bacteria (UID203)	1541991	37.2	83.95	36834	32.76	0	0	False	False	False	34.84	1.23	48.54	Neural Network (Specific Model)	11	None
L08-7.contigs.001	140	2620	2551	order	0.01	0.02	0.94	0.5	o__Lactobacillales (UID544)	2633737	38.1	85.58	46052	99.63	0.11	0	True	True	False	99.66	0.42	100	Neural Network (Specific Model)	11	None
L08-7.contigs.002	213	548	504	species	0.37	0.88	0.72	1	g__Staphylococcus (UID294)	466386	36.4	83.4	2428	14.82	0.04	0	False	False	False	27.02	0.25	18.65	Neural Network (Specific Model)	11	None
L09-7.contigs.001	140	2624	2556	genus	0.01	0.02	0.93	0.81	o__Lactobacillales (UID544)	2624703	38.1	85.52	43119	99.63	0	0	True	True	False	99.85	0.41	100	Neural Network (Specific Model)	11	None
L10-7.contigs.001	135	2634	2569	class	0.01	0.01	0.94	0.43	o__Lactobacillales (UID544)	2649480	38.1	85.38	48996	99.25	0	0	True	True	True	99.83	0.51	100	Neural Network (Specific Model)	11	None
L10-7.contigs.002	684	1997	1904	genus	0.09	0.19	0.89	0.99	g__Staphylococcus (UID294)	1845040	33.6	86.72	3346	67.8	0.47	0	True	False	False	87.54	0.62	73.04	Neural Network (Specific Model)	11	None
L11-7.contigs.001	132	2322	2261	genus	0.03	0.06	0.93	0.9	k__Bacteria (UID203)	2319925	38.3	85.35	47882	94.83	5.96	7.14	True	False	False	98.68	2.53	98.55	Neural Network (Specific Model)	11	None
L11-7.contigs.002	223	1792	1729	family	0.26	0.64	0.91	0.97	g__Staphylococcus (UID294)	1726749	33.6	84.54	17158	50.43	2.77	54.17	True	False	False	60.65	3.33	61.64	Neural Network (Specific Model)	11	None
L11-7.contigs.003	699	4623	4442	phylum	0.48	1	0.84	1	k__Bacteria (UID203)	4379145	48	87.78	27850	100	44.58	3.57	False	False	False	100	35.52	100	Gradient Boost (General Model)	11	None
L18-7.contigs.001	374	3348	2923	phylum	0.02	0.05	0.83	0.96	o__Lactobacillales (UID544)	3074148	38.5	81.15	16773	98.88	1.25	28.57	True	True	False	98.82	0.85	99.98	Neural Network (Specific Model)	11	None
